longest punt, name, punt yards, punts
43,Carlos Munera,166,5
54,David DeFatta,205,5
30,Chas Henry,59,2
51,Brady Dalfrey,98,2
42,Josh Jasper,84,2
44,Robert Malone,125,3
49,Nick Conley,167,4
56,Brian Mimbs,108,2
55,Britton Colquitt,288,6
58,Scott Blair,242,5
52,Chandler Anderson,141,3
42,Anthony Santella,121,3
53,Justin Kucek,297,7
53,Chris Hagerup,249,6
56,Ryan Donahue,176,4
77,Alonso Rojas,347,8
64,Matt DiLallo,319,7
46,Matt Rinehart,80,2
38,Barrett Way,38,1
56,Tim Masthay,332,7
34,Ryan Tydlacka,34,1
44,Spencer Lanning,87,2
54,Matt Bosher,410,11
55,Blake Clingan,418,11
63,Zoltan Mesko,248,5
62,Bill Claus,208,5
54,Jeff Wolfert,147,3
54,Jake Harry,54,1
69,Matt Fodge,166,4
48,Blake McAdams,233,8
57,Brett Upson,348,8
43,Terrence Brown,153,4
35,Eric Maust,35,1
46,Brad Langley,106,3
43,Kyle Hughes,78,2
48,Andy Dittbenner,151,4
73,Jacob Richardson,252,5
47,Stefan Demos,93,2
57,Aaron Bates,175,4
53,Truman Spencer,149,3
34,Spencer Ortego,34,1
43,AJ Trapasso,211,6
42,Chris Summers,190,5
54,Josh Syria,302,7
56,Aaron Perez,328,8
37,Johnny Hekker,37,1
54,Reid Forrest,398,10
57,Brian Stahovich,272,7
37,Ryan Harrison,130,4
44,Britt Barefoot,198,5
63,Kyle Brotzman,238,6
56,Thomas Morstead,183,5
41,Michael Such,116,3
71,David Green,216,4
51,Keenyn Crier,161,4
51,John Gold,186,4
36,Mike Knall,103,3
58,Justin Brantly,58,1
42,DJ Fulhage,42,1
43,Jonathan LaCour,83,2
55,Jake Wesch,55,1
54,Greg Woidneck,189,5
61,Thomas Weber,357,9
46,Greg Hiett,163,4
65,Ross Thevenot,193,4
49,Jimmy Howell,206,6
59,Matt Dodge,268,7
49,Brad Nortman,262,7
49,Jeremy Boone,179,4
43,Jeremy Moore,85,2
54,Chris Miller,143,3
54,Pat McAfee,329,7
63,Robert Long,224,5
81,Louie Sakoda,361,9
42,Bradley Pierson,189,5
49,Shawn Powell,145,4
44,Anson Kelton,88,2
41,CJ Santiago,112,3
75,Kyle Brotzman,180,3
42,Tim Grasso,137,4
49,PJ Fitzgerald,278,7
51,Rob Park,227,5
53,Keenyn Crier,370,8
58,Bryan Anger,339,7
43,Ryan Quigley,84,2
50,Brent Bowden,113,3
61,Nick Iovinelli,283,7
54,Jacob Richardson,372,9
47,Peter Fardon,202,5
53,Andrew Rinehart,206,5
41,Jimmy Maners,114,3
40,Dawson Zimmerman,110,3
51,Scott Blair,272,7
46,Brett Hartmann,110,3
52,Ben Armer,99,3
42,Matt DiLallo,225,6
51,DJ Fulhage,183,5
49,Kevin Jones,284,7
76,Matt Bosher,186,4
50,Matt Dodge,156,4
46,Brent Sutherland,231,6
47,Will Hudgens,47,1
43,Zach Johnson,177,5
49,John Stec,158,4
52,Brian Mimbs,176,4
57,Brett Upson,312,7
52,Anthony Santella,130,3
51,Chris Hagerup,222,5
41,Ryan Donahue,294,8
41,Brad Nortman,219,6
69,Mike Brandtner,358,8
50,Jake Wesch,106,3
46,Dan Titchener,78,2
47,Tim Masthay,89,2
45,Ryan Tydlacka,84,2
46,Jeremy Davis,206,6
51,Spencer Ortego,194,5
42,Brett Shrable,209,6
67,Scott Love,220,5
65,Truman Spencer,203,4
56,Corey Goettsche,121,3
45,David DeFatta,256,7
43,Chris Keagle,43,1
63,Nick Conley,264,5
48,Travis Baltz,187,5
48,Shane Popham,331,9
55,Aaron Bates,274,6
53,AJ Trapasso,209,5
48,Kyle Delahooke,182,5
38,Dave Brytus,75,2
67,Brad Langley,145,3
60,Peter Caldwell,437,9
41,Andy Dittbenner,41,1
52,Bill Claus,167,4
69,Kyle Hughes,353,8
52,Philip Zavala,198,6
54,Adam Miller,103,2
48,Brian Stahovich,327,8
52,Stefan Demos,150,3
33,Kyle Daley,33,1
47,Chris Summers,153,4
40,Mike Knall,186,5
59,Alonso Rojas,334,8
58,Matt Fodge,102,2
60,Derek Epperson,283,6
52,Jeremy Boone,134,3
51,Zoltan Mesko,250,6
44,Kyle Martens,186,5
32,Mark Brundage,32,1
52,Britt Barefoot,256,6
56,Teddy Dellanganna,292,7
47,Desi Cullen,200,5
50,Spencer Lanning,224,5
48,Brady Dalfrey,237,6
45,Delbert Alvarado,90,2
67,Robert Long,353,7
51,Thomas Morstead,170,4
52,Chase Turner,92,2
0,Blake Joseph,-15,1
53,Britton Colquitt,176,4
50,Blake McAdams,235,6
55,John Gold,95,2
43,Jake Harry,69,2
51,Jeff Wolfert,68,2
39,Michael Such,39,1
361,Kyle Peterson,361,8
0,Greg Hiett,43,1
51,Will Goggans,270,8
61,Carlos Munera,349,8
54,Justin Brantly,225,5
32,Jonathan LaCour,32,1
41,Swayze Waters,181,5
45,Kae Whitehead,138,4
48,Aaron Perez,213,5
49,David Green,167,4
47,Dack Ishii,133,3
40,Ryan Harrison,40,1
44,Louie Sakoda,157,4
61,Anthony Hartz,276,6
49,Jimmy Howell,280,7
45,Terrence Brown,196,5
35,Jared Ballman,35,1
47,Johnny Hekker,151,4
58,Reid Forrest,410,9
56,Greg Woidneck,98,2
36,Jeremy Moore,145,5
46,Keegan Peterson,187,5
55,Jeff Wathne,270,6
38,Matt Schulte,194,6
54,Ryan Harrison,166,4
49,Adam Miller,166,4
42,Pat McAfee,42,1
54,Clinton Durst,204,6
44,Philip Zavala,263,7
60,Kyle Brotzman,250,5
54,Jeremy Davis,272,6
45,Rob Park,191,5
41,Andrew Rinehart,188,6
59,Chris Keagle,302,7
61,Keenyn Crier,352,7
48,Greg Woidneck,206,6
53,Trevor Hankins,112,3
37,Thomas Weber,95,3
52,Josh Syria,89,2
62,Chris Miller,162,3
37,Zach Johnson,153,5
4,Mitch Payne,39,2
5,Kyle Watson,0,0
51,Bryan Anger,235,6
67,Aaron Perez,301,6
54,Desi Cullen,355,9
62,Kevin Huber,320,7
41,Chas Henry,41,1
57,Tim Masthay,253,5
55,Graham Gano,155,3
45,Shawn Powell,87,2
51,Brent Bowden,217,5
49,Scott Blair,130,3
49,Jimmy Howell,49,1
55,Tim Grasso,275,6
55,Brad Langley,307,7
52,TJ Conley,133,3
47,Kyle Hughes,89,2
49,Chris Hagerup,253,6
63,Stefan Demos,145,3
41,Alonso Rojas,113,3
40,Jonathan LaCour,40,1
45,DJ Fulhage,161,4
36,Mike Knall,116,5
38,Jimmy Stevens,73,2
38,Scott Love,104,3
29,Keegan Peterson,29,1
49,Corey Goettsche,251,6
45,Delbert Alvarado,198,6
46,Brady Dalfrey,120,3
43,Josh Jasper,43,1
60,Brian Mimbs,252,5
54,Travis Baltz,99,2
44,Bradley Pierson,146,4
46,Brent Sutherland,150,4
42,Britt Barefoot,219,6
47,Matt Bosher,144,4
45,Shane Popham,229,6
44,Jacob Richardson,44,1
38,Matt Rinehart,108,3
53,Zoltan Mesko,352,8
48,Aaron Bates,171,4
46,Jake Harry,81,2
44,Matt DiLallo,177,5
41,Thomas Suazo,141,4
43,Blake McAdams,242,6
40,David DeFatta,181,5
43,Kyle Delahooke,77,2
67,Thomas Morstead,236,7
52,Tavares Brown,198,5
56,Ryan Quigley,250,6
47,Dan Titchener,130,3
65,Derek Epperson,267,6
25,Andy Dittbenner,25,1
41,Nick Iovinelli,82,2
54,Truman Spencer,260,6
40,Will Goggans,150,4
59,AJ Trapasso,193,5
48,Jeremy Boone,174,4
50,Dave Brytus,78,2
54,Teddy Dellanganna,150,3
41,Chris Summers,79,2
42,Justin Kucek,149,4
47,Brian Stahovich,116,3
46,Anthony Hartz,114,3
47,Anson Kelton,164,4
41,Austin McCoy,194,6
55,Britton Colquitt,306,7
48,PJ Fitzgerald,94,2
40,Justin Tucker,40,1
