longest reception, name, receiving touchdowns, receiving yards, receptions
31,A Fantuz,0,69,3
7,J Clermont,0,7,1
27,A Franklin,0,54,3
14,R Bryant,0,39,3
20,R Cote,0,36,2
16,K Rambo,0,26,3
9,J Arthur,0,24,3
17,D Murphy,0,19,3
14,J Reynolds,0,14,1
12,L Talley,1,12,1
53,P Jackson,0,69,3
23,G Simon,0,55,3
8,J Robertson,0,8,1
8,E Arceneaux,0,8,1
7,O Wilson,0,7,1
23,R McNeal,0,74,6
17,J Copeland,0,65,6
28,C Owens,0,62,5
50,J Robinson,0,61,2
24,A Durie,0,29,3
15,S Watt,0,25,2
4,A Alridge,0,4,1
1,J Johnson,0,1,1
38,F Stamps,0,80,6
12,J Rector,0,35,5
8,C McCarty,0,34,5
11,B Smith,0,18,2
10,J Barnes,0,10,1
8,A Nowacki,0,8,1
3,M Bertrand,0,3,1
100,K Rambo,1,169,6
61,R Bryant,2,146,5
36,N Lewis,1,49,3
13,J Reynolds,0,27,3
18,J Cornish,0,18,1
3,D Murphy,0,3,1
49,J Richardson,1,124,5
19,A Cobourne,0,46,4
15,A Hawkins,1,43,4
9,B Cahoon,0,22,3
13,B Bratton,0,20,3
7,S Green,1,7,1
19,A Durie,0,52,5
14,C Boyd,0,43,4
16,J Robinson,0,35,5
14,J Copeland,0,14,1
9,C Owens,0,9,1
66,A Fantuz,1,114,6
12,W Dressler,0,56,6
12,J Clermont,0,48,7
16,C Getzlaf,1,47,4
10,W Cates,0,22,3
11,R Bagg,0,14,2
9,R Grice Mullen,0,9,1
29,G Simon,0,84,5
29,E Arceneaux,0,52,3
24,S Black,0,45,3
16,J Robertson,0,25,4
8,P Jackson,0,18,3
5,O Wilson,0,13,3
58,T Edwards,1,108,4
21,G Carr,0,85,7
10,T Jeffers Harris,0,33,5
10,F Reid,0,19,3
8,B Ralph,0,8,1
5,A Hargreaves,0,5,1
45,F Stamps,1,181,10
33,J Barnes,0,66,3
19,C McCarty,1,54,7
17,J Rector,0,27,2
11,T Scott,0,19,2
12,M Bertrand,0,19,2
12,A Nowacki,0,18,2
37,M McDaniel,2,122,9
36,A Bruce,0,58,4
16,M Mann,0,38,4
14,D Cobb,0,29,3
12,C Bauman,0,28,3
8,D Stala,0,8,1
7,M Thigpen,0,7,1
4,D Brown,0,4,1
58,A Bruce,1,142,6
24,D Stala,1,92,7
42,M Mann,0,75,4
17,M McDaniel,1,30,2
14,D Cobb,0,18,2
6,M Carter,0,6,1
1,S Schmidt,0,1,1
17,C McCarty,0,48,7
12,J Rector,0,45,4
13,A Nowacki,0,35,4
12,F Stamps,0,34,6
26,J Barnes,0,26,1
9,M Bertrand,0,23,3
7,K Peterson,0,13,2
31,A Fantuz,0,100,7
17,W Dressler,0,51,6
17,R Bagg,0,40,3
13,C Szarka,0,13,1
8,N Hughes,1,8,1
27,J Copeland,1,70,5
20,A Durie,0,29,2
12,C Owens,0,16,2
13,J Johnson,0,13,1
11,C Boyd,0,12,4
9,J Robinson,0,7,2
5,J Keeping,0,5,1
43,J Richardson,0,126,4
45,A Hawkins,0,86,6
23,B Cahoon,0,49,4
20,S Green,0,49,4
12,A Cobourne,0,37,6
14,K Carter,0,27,2
24,B Bratton,2,27,3
20,N Lewis,0,84,6
39,A Franklin,1,58,3
36,R Bryant,1,36,2
11,J Reynolds,0,14,2
14,K Rambo,0,14,1
8,J Cornish,0,8,1
5,J Arthur,0,5,1
17,G Simon,1,71,7
40,E Arceneaux,1,68,4
20,P Jackson,0,42,3
15,O Wilson,0,32,3
14,T Lulay,0,14,1
3,J Robertson,0,3,1
3,J Lee,0,3,1
25,R McNeal,0,39,2
13,J Copeland,0,33,3
13,C Owens,0,30,3
18,J Robinson,0,28,2
9,J Johnson,0,12,2
14,C Boyd,0,11,3
6,A Durie,0,6,1
32,D Stala,0,67,5
13,A Bruce,1,54,5
34,M McDaniel,1,51,4
16,M Mann,0,25,3
11,M Carter,0,11,1
6,D Cobb,0,6,1
0,M Thigpen,0,0,1
38,G Simon,0,102,7
36,E Arceneaux,0,68,4
26,J Robertson,0,66,8
10,S Black,1,22,3
9,P Jackson,0,15,2
5,O Wilson,0,5,1
28,F Stamps,1,63,3
28,D Armstrong,0,33,2
8,C McCarty,0,14,2
11,D Porter,0,11,1
10,K Campbell,0,10,1
8,K Peterson,0,8,1
36,S Green,0,71,4
17,J Richardson,1,59,4
17,A Cobourne,0,51,6
23,A Hawkins,0,31,3
7,B Cahoon,1,21,4
12,K Carter,0,19,2
16,B Bratton,0,19,2
72,T Edwards,1,113,6
28,G Carr,1,84,6
25,T Jeffers Harris,0,75,5
5,B Ralph,0,5,1
85,C Getzlaf,2,201,5
25,W Dressler,1,71,5
21,J Clermont,0,49,4
20,W Cates,0,20,1
25,R Bryant,1,85,6
25,N Lewis,0,60,4
23,J Reynolds,0,47,3
24,A Franklin,0,32,2
7,K Rambo,0,16,3
14,J Arthur,0,14,1
41,C Bauman,2,116,5
31,D Cobb,0,73,4
31,M Mann,0,71,4
41,M Thigpen,0,63,2
11,D Stala,0,35,4
23,M McDaniel,0,32,2
12,A Bruce,0,12,1
35,S Green,0,81,4
38,A Hawkins,0,70,3
28,J Richardson,0,59,5
21,B Whitaker,0,48,5
17,B Cahoon,0,38,3
18,D Desriveaux,0,18,1
8,B Bratton,0,13,3
7,E DeSlauriers,0,7,1
38,N Lewis,2,149,7
27,K Rambo,1,116,7
13,R Bryant,0,48,5
9,J Reynolds,0,16,4
15,J Cornish,0,16,1
13,R Cote,0,16,2
12,A Franklin,0,12,1
74,E Arceneaux,1,74,1
14,J Robertson,0,68,10
65,S Black,0,65,1
17,P Jackson,0,45,4
11,G Simon,0,11,1
11,T Edwards,0,45,5
14,C Watson,0,42,4
10,T Jeffers Harris,0,30,6
18,G Carr,0,26,2
7,Y Bernard,0,7,1
17,J Copeland,0,75,6
66,C Boyd,1,70,2
11,C Owens,0,31,4
13,A Durie,0,18,2
10,R McNeal,0,10,1
7,S Watt,0,7,1
1,J Johnson,0,1,1
38,F Stamps,1,44,3
15,D Armstrong,1,39,3
29,K Campbell,0,35,3
18,A Nowacki,0,30,2
10,C McCarty,0,25,4
15,A Talbot,0,15,1
42,C Koch,2,107,8
19,A Fantuz,0,36,2
23,R Grice Mullen,0,32,2
29,C Getzlaf,0,29,1
8,J Clermont,0,14,2
13,M Parenteau,0,13,1
13,H Charles,0,13,1
33,C Boyd,0,79,4
13,R McNeal,0,26,2
12,J Copeland,0,19,2
9,A Durie,0,15,2
14,C Owens,1,14,1
10,M Bradwell,1,10,1
4,J Robinson,0,4,1
54,K Watkins,1,111,5
61,J Richardson,0,92,4
12,S Green,0,50,6
16,B Cahoon,1,47,3
17,K Carter,0,36,3
10,A Cobourne,1,31,5
20,B Bratton,0,29,2
11,D Diedrick,0,16,2
68,R Bryant,3,131,5
25,K Rambo,0,120,9
14,N Lewis,0,74,6
14,R Thelwell,0,37,4
10,J Arthur,0,17,2
6,L Talley,0,6,1
17,M McDaniel,0,47,5
12,D Stala,1,40,5
13,R Fish,0,28,3
9,M Thigpen,0,14,3
4,M Mann,0,6,2
3,D Cobb,0,3,1
12,D Armstrong,0,49,6
16,A Talbot,0,34,4
11,D Porter,0,15,2
15,F Stamps,0,15,1
7,A Nowacki,0,7,1
11,G Carr,0,54,7
16,T Edwards,0,46,4
11,C Watson,0,19,2
7,T Jeffers Harris,0,11,2
23,G Simon,0,79,6
38,E Arceneaux,0,47,2
10,P Jackson,0,33,5
8,R Lumbala,0,14,2
6,J Robertson,0,12,3
7,S Black,1,11,2
8,Y Davis,0,8,1
36,A Fantuz,0,109,7
40,C Koch,1,109,5
25,C Getzlaf,1,47,4
12,J Clermont,0,37,4
9,W Dressler,0,17,2
6,W Cates,0,13,3
55,C Watson,1,67,2
27,T Jeffers Harris,1,65,6
35,T Edwards,0,47,3
42,G Carr,0,42,1
20,C Garrett,0,20,1
39,K Rambo,1,84,6
30,R Bryant,1,59,4
34,N Lewis,0,37,3
20,A Franklin,0,20,1
12,J Reynolds,0,12,1
11,J Cornish,0,11,1
9,R Thelwell,0,9,1
1,R Chevrier,1,1,1
41,M Mann,2,115,6
43,C Bauman,0,95,3
11,M McDaniel,0,29,3
11,D Stala,1,28,3
14,D Cobb,0,22,3
35,E Arceneaux,2,164,8
39,S Black,0,91,3
20,J Robertson,0,77,9
26,G Simon,0,35,2
9,O Wilson,0,29,4
10,P Jackson,0,15,2
11,R Lumbala,0,13,2
27,A Fantuz,1,77,5
24,C Koch,0,68,6
25,W Dressler,0,62,4
23,J Clermont,0,59,3
22,W Cates,0,45,4
15,C Getzlaf,0,34,4
23,F Stamps,1,118,9
20,A Talbot,0,56,5
29,J Rector,0,29,1
11,D Porter,0,24,3
8,C McCarty,0,8,1
6,J Armstead,0,6,1
5,A Nowacki,0,5,1
12,E DeSlauriers,0,42,5
11,A Hawkins,0,33,4
14,D Desriveaux,0,27,3
23,T Maypray,0,23,1
7,B Bratton,0,13,3
11,K Carter,0,11,1
0,D Diedrick,0,0,1
50,S Watt,2,140,6
29,A Durie,0,70,5
18,M Bradwell,0,68,5
23,B Rideau,0,29,2
15,R McNeal,0,26,2
5,E Kuale,0,5,1
30,C Bauman,0,108,5
21,M McDaniel,0,85,6
22,A Bruce,0,76,7
11,D Cobb,0,34,4
10,M Mann,0,25,3
11,D Stala,0,22,2
11,J Copeland,0,44,6
11,C Boyd,0,39,8
12,S Watt,1,23,3
12,E Kuale,0,12,1
11,A Durie,0,11,1
2,C Owens,0,5,3
75,W Dressler,2,150,8
24,J Clermont,1,63,3
28,C Koch,0,42,4
24,W Cates,0,33,2
6,A Fantuz,0,11,2
11,C Getzlaf,0,11,1
29,E Arceneaux,1,80,5
23,S Black,1,79,5
34,J Jackson,0,69,5
14,G Simon,0,45,4
22,O Wilson,0,45,3
13,J Robertson,0,37,5
2,R Lumbala,0,2,1
53,J Richardson,2,153,5
24,K Watkins,0,80,4
17,A Cobourne,0,53,4
12,B Cahoon,0,24,3
10,S Green,0,10,1
9,B Bratton,0,9,1
5,D Diedrick,0,5,1
43,R McNeal,0,83,3
28,J Copeland,1,77,5
20,S Watt,0,36,3
25,A Durie,0,25,1
10,C Owens,0,10,1
5,D Wright,0,9,2
27,A Franklin,1,60,3
36,R Bryant,0,56,3
16,N Lewis,0,55,6
16,K Rambo,0,34,4
18,J Arthur,0,18,1
5,J Reynolds,0,5,1
1,J Cornish,0,1,1
30,C Getzlaf,1,109,8
14,C Koch,1,24,3
10,W Cates,0,15,2
7,W Dressler,0,13,3
5,J Clermont,0,12,3
7,C Szarka,0,7,1
37,J Richardson,0,109,8
21,S Green,0,102,9
34,K Carter,0,42,2
17,B Cahoon,0,34,3
10,K Watkins,0,19,2
9,B Bratton,0,15,2
