assists, ats margin, ats streak, attendance, blocks, coach, conference, date, day, defensive rebounds, dpa, dps, field goals attempted, field goals made, fouls, free throws attempted, free throws made, full name, game number, half scores, line, losses, margin, margin at the half, matchup losses, matchup wins, minutes, month, offensive rebounds, officials, opponents, ou margin, ou streak, overtime, points, rank, rebounds, rest, rival, school name, season, site, site streak, start time, steals, streak, subconference, team, three pointers attempted, three pointers made, time of game, total, tournament, turnovers, venuecap, wins
9,7.500,0,3577,2,Ron Cottrell,SL,20191105,Tuesday,24,-7.250,0.250,67,24,20,18,15,,1,[38, 34],15.500,0,-8,-3,0,0,,11,16,,[],-7.000,0,0,72,,40,,,Houston Baptist,2019,away,0,,7,0,,HOUBA,29,9,,159.000,,16,,0
13,21.500,0,2213,5,Keith Dambrot,A10,20191105,Tuesday,19,-1.250,20.250,63,36,15,10,9,,1,[37, 57],-5.500,0,27,-5,0,0,,11,6,,[],19.000,0,0,94,,25,,,Duquesne,2019,home,0,,10,0,,DUQ,25,13,,142.000,,8,,0
11,-21.500,0,2213,0,Mitch Henderson,IVY,20191105,Tuesday,17,20.250,-1.250,57,27,14,14,6,,1,[42, 25],5.500,0,-27,5,0,0,,11,12,,[],19.000,0,0,67,,29,,,Princeton,2019,away,0,,1,0,,PRINC,22,7,,142.000,,17,,0
20,6.000,0,1655,5,Kevin Willard,BE,20191105,Tuesday,30,17.250,23.250,60,37,25,32,22,,1,[52, 53],-28.000,0,34,15,0,0,,11,6,,[],40.500,0,0,105,12,36,,,Seton Hall,2019,home,0,,14,0,POWER6,SETHA,24,9,,135.500,,10,18711,0
12,-6.000,0,1655,0,Bashir Mason,NE,20191105,Tuesday,23,23.250,17.250,61,25,26,26,16,,1,[37, 34],28.000,0,-34,-15,0,0,,11,12,,[],40.500,0,0,71,,35,,,Wagner,2019,away,0,,4,0,,WAGNR,23,5,,135.500,,19,,0
9,-14.500,0,7500,2,Brad Brownell,ACC,20191105,Tuesday,28,6.250,-8.250,64,22,16,15,9,,1,[37, 23],-7.500,0,-7,3,0,0,,11,8,,[],-2.000,0,0,60,,36,,,Clemson,2019,home,0,,4,0,POWER6,CLEM,29,7,,129.000,,8,10000,0
11,14.500,0,7500,1,Mike Young,ACC,20191105,Tuesday,33,-8.250,6.250,57,22,15,20,14,,1,[34, 33],7.500,0,7,-3,0,0,,11,6,,[],-2.000,0,0,67,,39,,,Virginia Tech,2019,away,0,,4,0,POWER6,VTECH,27,9,,129.000,,13,9847,0
31,27.500,0,8103,10,Ed Cooley,BE,20191105,Tuesday,29,-6.250,21.250,76,39,20,16,12,,1,[59, 47],-18.500,0,46,29,0,0,,11,16,,[],15.000,0,0,106,,45,,,Providence,2019,home,0,,13,0,POWER6,PROV,34,16,,151.000,,7,12400,0
10,-27.500,0,8103,4,Anthony Latina,NE,20191105,Tuesday,20,21.250,-6.250,59,19,12,23,16,,1,[30, 30],18.500,0,-46,-29,0,0,,11,10,,[],15.000,0,0,60,,30,,,Sacred Heart,2019,away,0,,4,0,,SACHT,20,6,,151.000,,18,,0
12,1.000,0,,3,Mike Kryzewski,ACC,20191105,Tuesday,19,-9.000,-8.000,64,23,17,23,14,,1,[33, 35],-1.000,0,2,3,0,0,,11,11,,[],-17.000,0,0,68,4,30,,NOCAR,Duke (Neutral),2019,neutral,0,,11,0,POWER6,DUKE,24,8,,151.000,,16,9314,0
13,-1.000,0,,5,Bill Self,B12,20191105,Tuesday,30,-8.000,-9.000,50,23,20,26,16,,1,[30, 36],1.000,0,-2,-3,0,0,,11,10,,[],-17.000,0,0,66,3,40,,,Kansas,2019,neutral,0,,11,0,POWER6,KAN,9,4,,151.000,,26,16300,0
19,6.500,0,5869,11,Pat Chambers,B10,20191105,Tuesday,25,-5.250,1.250,58,29,17,24,14,,1,[37, 47],-31.500,0,38,20,0,0,,11,13,,[],-4.000,0,0,84,,38,,,Penn St.,2019,home,0,,10,0,POWER6,PENST,31,12,,134.000,,15,15261,0
8,-6.500,0,5869,1,Jason Crafton,MEAC,20191105,Tuesday,19,1.250,-5.250,54,18,22,13,6,,1,[17, 29],31.500,0,-38,-20,0,0,,11,7,,[],-4.000,0,0,46,,26,,,Maryland  E. Shore,2019,away,0,,7,0,,MDESH,19,4,,134.000,,19,,0
15,-8.500,0,11325,6,Juwan Howard,B10,20191105,Tuesday,21,4.750,-3.750,61,29,18,19,12,,1,[46, 33],-16.500,0,8,21,0,0,,11,11,,[],1.000,0,0,79,,32,,,Michigan,2019,home,0,,8,0,POWER6,MICH,25,9,,149.000,,17,12707,0
9,8.500,0,11325,0,Dustin Kerns,SB,20191105,Tuesday,25,-3.750,4.750,57,26,23,22,15,,1,[25, 46],16.500,0,-8,-21,0,0,,11,5,,[],1.000,0,0,71,,30,,,Appalachian St.,2019,away,0,,9,0,,APPST,13,4,,149.000,,18,,0
18,11.500,0,17222,6,Archie Miller,B10,20191105,Tuesday,31,4.250,15.750,65,38,12,25,17,,1,[46, 52],-21.500,0,33,21,0,0,,11,14,,[],20.000,0,0,98,,45,,,Indiana,2019,home,0,,6,0,POWER6,IND,11,5,,143.000,,11,17472,0
9,-11.500,0,17222,3,Billy Wright,SUMM,20191105,Tuesday,18,15.750,4.250,64,22,20,15,14,,1,[25, 40],21.500,0,-33,-21,0,0,,11,9,,[],20.000,0,0,65,,27,,,Western Illinois,2019,away,0,,6,0,,WILLI,24,7,,143.000,,12,,0
13,,0,1112,8,Tommy Amaker,IVY,20191105,Tuesday,28,,,60,34,19,13,9,,1,[33, 51],,0,57,23,0,0,,11,12,,[],,0,0,84,,40,,,Harvard,2019,home,0,,13,0,,HARV,20,7,,,,20,,0
6,,0,1112,5,,,20191105,Tuesday,15,,,45,11,16,12,4,,1,[10, 17],,0,-57,-23,0,0,,11,8,,[],,0,0,27,,23,,,MIT,2019,away,0,,12,0,,MIT,14,1,,,,27,,0
