average kickoff return, average kickoff return yards, kickoff return touchdowns, kickoff returns, longest kickoff return, name
6.000,,0,1,6,Kirk Chambers
30.000,,1,5,88,Devin Hester
15.000,,0,2,19,Rashied Davis
10.000,,0,1,10,John Gilmore
15.000,,0,6,21,Glenn Martinez
14.000,,0,1,14,Andre Hall
27.000,,0,2,29,Josh Cribbs
21.000,,0,3,26,Dexter Wynn
18.000,,0,1,18,Jacoby Jones
12.000,,0,1,12,Vonta Leach
22.000,,0,8,28,Ahmad Bradshaw
22.000,,0,2,23,Troy Williamson
21.000,,0,1,21,Charles Gordon
17.000,,0,4,19,DeAngelo Williams
16.000,,0,2,17,Kindal Moorehead
21.000,,0,2,24,Pierre Thomas
21.000,,0,3,28,Jeff Webb
14.000,,0,1,14,Turk McBride
18.000,,0,3,22,Dominic Rhodes
27.000,,0,1,27,Chris Carr
28.000,,0,6,35,Dante Hall
25.000,,0,2,30,Nate Burleson
57.000,,1,2,89,Josh Wilson
28.000,,0,3,36,Glenn Holt
21.000,,0,5,37,Chris Barclay
15.000,,0,1,15,Calvin Lowry
23.000,,0,2,24,Micheal Spurlock
20.000,,0,1,20,Michael Clayton
23.000,,0,3,25,Rock Cartwright
14.000,,0,1,14,John Eubanks
21.000,,0,7,37,Steve Breaston
26.000,,0,3,30,Maurice Hicks
29.000,,0,2,32,Darren Sproles
25.000,,0,6,57,Yamon Figurs
0.000,,0,1,0,Mike Anderson
28.000,,0,4,41,Ellis Hobbs
21.000,,0,4,33,Correll Buckhalter
25.000,,0,2,28,JR Reed
21.000,,0,1,21,Allen Rossum
3.000,,0,1,3,Marty Booker
23.000,,0,1,21,Ted Ginn
27.000,,0,6,38,Miles Austin
23.000,,0,4,29,Koren Robinson
18.000,,0,4,26,Tramon Williams
22.000,,0,3,37,Brandon Williams
19.000,,0,1,19,Jonathan Wade
22.000,,0,3,32,Jerious Norwood
10.000,,0,1,10,Ovie Mughelli
26.000,,0,5,38,Rock Cartwright
0.000,,0,1,0,John Eubanks
12.000,,0,3,16,Terrence McGee
0.000,,0,1,0,Ryan Neufeld
15.000,,0,1,15,Roscoe Parrish
0.000,,0,1,0,Dwayne Wright
47.000,,1,3,103,Aundrae Allison
26.000,,0,6,35,Aveion Cason
