name, rushes, rushing touchdowns, rushing yards
B Holly,2,0,3
B Smith,10,1,108
D Billingsley,12,2,86
J Woods,4,0,25
J Daughtry Frye,3,0,13
T Woolfolk,4,0,9
K Barker,4,0,4
B Barr,10,0,39
C Freeman,5,0,19
J Hawkins,5,0,13
H Williams,14,0,9
T Armstrong,1,0,2
D Bargnare,1,0,1
J Galloway Velazquez,1,0,-2
A Shyne,11,1,125
T Henry,12,0,55
S Thompson,7,2,30
J Welch,2,0,18
M Mannix,2,0,14
D Rigdon,1,0,7
A Bowman,4,1,7
D Thompson,1,0,-1
I Ifanse,15,0,77
C Bauman,10,0,13
W Patterson,1,0,8
C OReilly,1,0,7
S Perry,1,0,6
L Jones,2,0,5
T Thomas,1,0,4
J Martin,1,0,4
K Tucker II,1,0,2
D Hosey,2,0,1
T Andersen,1,0,0
C Williams,15,3,143
A Rogers,11,2,114
D Williams,8,1,33
T Jackson,5,0,26
C Reese,5,1,15
K Oblad,1,0,0
J Felila,14,0,29
E Vander,4,0,23
T Duckett,7,0,17
C Helbig,10,1,-5
T Skidmore,2,0,-9
M Berz,1,0,-9
V Malepeai,23,1,134
S Carr,6,1,56
K Slovis,2,0,-1
J Daniels,3,0,-6
J Reyna,20,0,88
R Rivers,14,0,53
J Cropper,4,0,39
C Sutton,1,0,27
T Hughes,23,2,144
J Fields,7,0,61
B Jones,13,1,33
T Wolf,1,0,18
F Mckee,1,0,2
D Minnieweather,15,0,67
E Beek,9,1,53
L Dickens,1,0,5
B Ratzlaff,1,0,4
J Sterns,1,0,-1
B Zappe,7,0,-15
F Harris,15,0,123
S McCormick,12,0,74
B Daniels,6,0,42
B Brady,7,1,28
D Boston,4,1,11
L Narcisse,2,0,8
K Brown,6,0,36
K Philio,2,0,7
A King,4,0,6
D Balcomb,1,0,-4
J Copeland,7,0,-17
K Vaughn,15,0,74
J Shelton Mosley,1,0,23
M Pryor,2,0,11
J Wakefield,1,0,7
D Jerkins,1,0,3
R Neal,10,0,-2
D Swift,16,0,149
B Herrien,12,1,65
Z White,5,0,51
D Robertson,2,0,29
J Cook,2,1,22
T Simmons,2,0,10
R Newton,12,1,91
S Ahmed,15,1,44
M Braxton,2,0,43
S McGrew,4,0,24
K Pleasant,5,0,7
J Sirmon,1,0,1
C McClatcher,1,0,-6
D Merritt,5,0,37
A Custer Jr,14,1,24
E Barriere,10,0,3
I Lewis,1,0,-1
M Borghi,10,1,128
C Markoff,5,0,7
D McIntosh,1,0,1
A Gordon,2,0,-7
J Huntley,9,0,57
C Gibson,4,0,25
N Mitchell,6,0,22
J Adkins,6,1,-8
L Bellamy,18,1,53
D Tucker,5,0,31
R Davie,1,0,12
S Tyler,5,0,9
D Schick,1,0,0
J Wassink,2,0,-14
P Guerriero,23,1,107
D Jones,12,0,31
K Bahar,4,0,-10
M Pettaway,9,0,20
K McKoy,11,0,11
A Sinkfield,1,0,3
A Kendall,3,0,0
S Vanhorse,12,1,55
B Dinucci,14,0,36
P Agyei Obese,8,0,29
J Hamilton,8,0,26
A Douglas,5,0,17
B Polk,1,0,9
S Chambers,12,1,120
X Valladay,15,1,118
T Swen,8,0,45
T Smith,6,1,16
T Badie,16,1,53
L Rountree III,15,1,41
K Bryant,11,0,20
J Hurts,16,3,176
T Sermon,11,0,91
K Brooks,4,0,46
R Stevenson,6,1,41
D King,15,1,103
M Car,9,1,76
K Porter,14,0,40
M Stevenson,1,0,13
C Smith,3,0,9
J Hawkins,19,0,122
H Hall,11,0,69
J Pass,16,2,67
T Jones Jr,15,1,110
I Book,14,1,81
J Smith,8,2,24
J Armstrong,2,0,10
C Flemister,3,0,5
E Benjamin,24,0,69
J Daniels,7,0,25
I Floyd,5,0,13
E Long,1,0,1
E Dotson,11,0,32
B Perkinson,2,0,12
K Thomson,9,0,-2
G Holani,22,0,103
H Bachmeier,7,1,26
A Van Buren,5,0,18
R Mahone,7,0,14
K Shakir,1,0,3
G Collingham,1,0,2
J Hightower,1,0,1
B Knox,10,1,71
W Johnson,2,0,16
T King,5,0,16
X Gaines,2,0,14
I Green,5,0,0
A Walter,8,1,29
C Montgomery,6,0,19
R Williams,4,0,16
C Booker,5,0,13
N Ellerbe,5,0,3
A Trammell,1,0,2
T Stewart,6,1,-6
W Green,2,0,-9
K Walker III,9,1,125
C Beal Smith,10,1,30
J Newman,6,0,29
D Delaney,6,0,13
W Drawdy,2,0,4
C McKinney,1,0,1
M Hollins,11,2,78
B Perkins,7,1,68
P Kier,6,0,45
B Armstrong,3,0,13
T Kelly,1,0,9
L Atkins,3,0,5
C Sharp,1,0,4
B Kemp,1,0,-1
A Funderburke,5,1,50
O Wright,10,0,12
H Mathis,15,0,10
J Anderson,3,0,10
K Anderson,1,0,-9
T Hefter,1,0,-10
K Nelson,13,0,31
D Sands,12,1,9
B Lee,4,0,-6
S Brown,16,0,35
T Johnston III,8,0,24
J Haden,8,0,21
L Wooden,1,0,3
K Robinson,5,1,80
H Ruggs III,1,1,75
N Harris,12,1,68
B Robinson Jr,11,0,57
T Tagovailoa,2,1,33
J Ford,1,0,5
J Foley,7,0,51
D Dan,2,0,22
C Gibson,10,0,14
M Romero,2,0,10
E Anderson,3,0,10
J Huntley,3,0,6
J Adkins,6,0,-12
D Evans,19,3,234
D Harrington,5,0,26
M Williams Jr,3,0,16
Z Thomas,10,0,4
B LeMay,14,2,118
I Finger,5,0,75
C Reynolds,16,0,42
A McAllister,4,0,9
C Dollar,1,0,-5
G Brightwell,5,1,141
J Taylor,10,1,102
B Smith,8,1,84
N Tilford,6,0,40
M Wiley,9,0,39
N Bombata,2,0,12
B Casteel,1,0,9
G Gunnell,2,0,6
K Tate,2,1,1
R Rodriguez,1,0,-3
G Romero Robinson,4,1,40
H Beemiller,2,0,18
J Mpungi,7,1,16
A Aldredge,4,0,10
N Stinson,5,1,10
C Cookus,2,0,3
J Logan,1,0,2
B Porter,1,0,-3
J Whitlow,23,1,96
K Martin,10,0,32
J Gatewood,6,0,21
B Nix,2,0,16
S Shivers,1,0,4
E Stove,2,1,4
J McMillan,7,0,54
D Bradwell,12,0,30
C Dauphine,5,0,23
A Jones,6,0,13
C Huntley,13,1,64
W Fletcher,7,1,36
M Hurt Jr,6,0,18
D Plitt,3,0,14
J Hall,2,0,12
W Jones,2,0,11
Z Davis,19,1,85
T Sneed,10,2,23
H El Zayat,1,0,3
N Mayfield,2,0,1
F Kokosioulis,1,0,0
T Demorat,4,0,-7
G Bohanon,7,1,93
T Ebner,4,0,76
J Lovett,9,0,69
Q Jones,2,1,63
A Smith,3,0,21
J Hasty,7,1,18
C Platt,1,1,15
C Brewer,4,1,10
W Williams,1,0,2
J Williams,1,0,1
S McCormick,12,2,87
D Boston,5,0,33
B Brady,6,0,26
L Narcisse,3,0,12
B Daniels,1,0,3
F Harris,9,0,3
D Bailey,13,0,97
Z Flowers,3,1,92
A Dillon,17,2,86
P Garwo III,6,0,34
