batters faced, earned runs, era, fly balls, ground balls, hit batters, hits allowed, home runs allowed, innings pitched, name, order, pitches, result, runs allowed, strike outs thrown, strikes, walks allowed
4,0,0.000,1,0,[],1,0,1.000,Joe Nathan,5,16,,0,2,10,0
22,0,0.000,6,6,[],2,0,6.000,Josh Beckett,1,108,W,0,6,64,3
3,0,0.000,0,1,[],0,0,1.000,Jim Mecir,2,16,,0,2,9,0
4,0,0.000,1,2,[],1,0,1.000,Todd Jones,3,15,,0,0,11,0
4,0,0.000,1,2,[],2,0,1.000,Guillermo Mota,4,16,,0,0,12,0
13,6,32.400,1,3,[],6,1,1.667,John Smoltz,1,65,L,7,1,43,2
11,0,0.000,1,3,[],2,0,2.333,Jorge Sosa,2,50,,0,3,27,2
10,2,9.000,3,1,['Juan Pierre'],3,0,2.000,Adam Bernero,3,37,,2,2,27,0
3,0,0.000,2,0,[],0,0,1.000,Roman Colon,4,13,,0,1,8,0
5,0,0.000,3,0,[],2,0,1.000,Tom Martin,5,13,,0,0,9,0
27,2,2.840,5,9,[],8,1,6.333,Carl Pavano,1,98,,2,7,56,1
2,0,0.000,0,1,[],1,0,0.667,Mike Stanton,2,10,,0,0,6,0
3,0,4.500,2,0,[],0,0,1.000,Tom Gordon,3,14,H,0,0,11,0
5,1,9.000,1,0,[],2,1,1.000,Mariano Rivera,4,21,W,1,2,14,0
23,2,4.150,6,5,['Derek Jeter'],5,1,4.333,Matt Clement,1,91,,3,4,51,3
4,0,0.000,0,3,['Jason Giambi'],0,0,1.333,John Halama,2,14,,0,0,7,0
3,0,13.500,1,1,[],0,0,0.667,Matt Mantei,3,15,,0,0,7,1
1,0,0.000,0,0,[],1,0,0.000,Mike Myers,4,3,,0,0,3,0
2,0,0.000,1,0,[],0,0,0.667,Alan Embree,5,9,,0,1,6,0
4,1,9.000,2,1,[],1,1,1.000,Keith Foulke,6,19,L,1,1,12,0
25,0,0.000,6,6,['Richard Hidalgo'],7,0,6.000,Jarrod Washburn,1,92,,0,5,64,0
3,0,3.860,2,1,[],0,0,1.000,Scot Shields,2,12,H,0,0,9,0
6,2,18.000,1,1,[],3,1,1.000,Brendan Donnelly,3,28,BS,2,1,20,0
4,0,0.000,1,2,[],1,0,1.000,Esteban Yan,4,7,,0,0,7,0
7,0,0.000,3,1,[],1,0,2.000,Francisco Rodriguez,5,22,,0,2,14,0
4,1,9.000,2,1,[],1,1,1.000,Bret Prinz,6,13,L,1,0,8,0
22,1,1.500,5,11,[],5,0,6.000,Kenny Rogers,1,71,,1,1,42,2
8,0,0.000,0,5,[],0,0,1.333,Doug Brocail,2,33,,0,0,18,3
2,0,0.000,1,0,[],0,0,0.333,Ron Mahay,3,10,H,0,0,5,1
6,1,6.750,2,1,[],2,0,1.333,Francisco Cordero,4,17,BS,1,1,11,0
5,0,0.000,1,1,[],0,0,1.000,Ryan Bukvich,5,20,,0,1,8,2
2,0,0.000,1,1,[],0,0,0.667,RA Dickey,6,3,,0,0,2,0
4,0,0.000,1,3,[],0,0,1.333,Brian Shouse,7,13,W,0,0,10,0
21,1,1.500,7,8,[],4,1,6.000,Andy Pettitte,1,71,,1,3,47,0
6,0,0.000,2,3,[],0,0,2.000,Chad Qualls,2,16,W,0,1,11,0
4,0,0.000,1,1,[],0,0,1.000,Brad Lidge,3,15,S,0,1,7,1
25,1,1.500,3,10,[],9,0,6.000,Jason Marquis,1,111,,1,4,68,1
2,0,0.000,0,1,[],1,0,0.333,Bill Pulsipher,2,3,,0,0,3,0
8,3,20.250,1,2,[],4,0,1.000,Julian Tavarez,3,31,L,3,0,17,1
3,0,0.000,2,0,[],1,0,0.667,Ray King,4,8,,0,0,6,0
26,2,2.700,8,11,[],6,0,6.667,Mark Hendrickson,1,90,,3,1,61,1
4,2,9.000,1,0,[],2,0,0.667,Travis Harper,2,14,,2,1,10,0
1,0,0.000,0,0,[],1,0,0.000,Trever Miller,3,2,,0,0,1,0
7,0,0.000,3,1,[],0,0,1.667,Danys Baez,4,24,W,0,1,13,2
22,1,1.500,4,8,[],4,1,6.000,Josh Towers,1,85,,1,6,62,0
5,1,9.000,0,2,[],2,0,1.000,Jason Frasor,2,17,H,1,1,9,1
4,4,27.000,0,0,[],3,0,0.000,Scott Schoeneweis,3,12,L,4,0,5,1
5,2,10.800,2,0,[],2,1,1.000,Justin Speier,4,22,BS,2,1,17,0
25,2,3.380,4,10,[],5,0,5.333,Brandon Webb,1,107,W,2,2,65,3
4,1,4.500,2,0,[],2,1,0.667,Brian Bruney,2,14,,1,0,10,0
7,0,2.700,3,2,[],1,0,2.000,Mike Koplove,3,22,,0,1,14,0
2,0,0.000,0,0,[],1,0,0.333,Randy Choate,4,6,,0,1,5,0
2,0,0.000,0,0,[],0,0,0.667,Brandon Lyon,5,11,,0,2,8,0
23,7,17.180,1,3,[],9,0,3.667,Ryan Dempster,1,82,L,7,7,53,3
2,0,6.750,0,1,[],1,0,0.333,Glendon Rusch,2,4,,0,0,3,0
5,0,0.000,0,2,[],1,0,1.000,Jon Leicester,3,17,,0,1,8,1
4,0,0.000,2,1,[],0,0,1.000,Cliff Bartosh,4,15,,0,0,8,1
4,0,0.000,0,2,[],1,0,1.000,Michael Wuertz,5,16,,0,1,7,1
4,1,9.000,1,1,[],1,1,1.000,LaTroy Hawkins,6,16,,1,1,8,0
21,2,3.600,8,4,[],3,0,5.000,Kirk Rueter,1,83,L,2,4,45,2
4,4,9999.000,0,0,[],4,0,0.000,Tyler Walker,2,14,,4,0,10,0
5,1,9.000,1,0,[],2,1,1.000,Jason Christiansen,3,23,,1,1,13,0
10,3,13.500,1,5,[],5,0,2.000,Matt Herges,4,37,,3,0,24,0
3,0,0.000,1,2,[],0,0,1.000,Jeff Fassero,5,7,,0,0,6,0
22,1,1.800,3,9,[],6,0,5.000,Odalis Perez,1,86,W,1,2,55,3
8,0,0.000,2,3,[],0,0,2.000,Duaner Sanchez,2,25,,0,1,15,1
3,0,0.000,1,2,[],0,0,1.000,Steve Schmoll,3,11,,0,0,7,0
6,2,54.000,1,0,[],3,1,0.333,Yhency Brazoban,4,21,,3,0,12,1
2,0,0.000,0,1,[],0,0,0.667,Buddy Carlyle,5,6,,0,1,6,0
18,3,6.230,5,7,[],4,1,4.333,Bobby Madritsch,1,64,L,3,1,47,1
12,1,2.250,6,3,[],3,0,3.000,Ryan Franklin,2,35,,1,0,22,1
3,0,0.000,1,0,['Justin Morneau'],0,0,0.333,Ron Villone,3,11,,0,0,5,1
5,0,0.000,2,2,[],0,0,1.333,Jeff Nelson,4,20,,0,0,10,1
26,1,1.290,3,17,[],9,1,7.000,Carlos Silva,1,68,W,1,0,49,0
4,0,0.000,1,0,[],1,0,1.000,Juan Rincon,2,15,H,0,2,12,0
3,0,0.000,1,2,[],0,0,1.000,Joe Nathan,3,12,S,0,0,9,0
24,1,1.590,6,8,['Brian Jordan'],5,0,5.667,Al Leiter,1,95,,1,3,57,1
5,0,0.000,1,3,[],1,0,1.333,Antonio Alfonseca,2,15,,0,0,11,0
4,0,0.000,2,1,[],1,0,1.000,Todd Jones,3,16,,0,0,10,0
7,0,0.000,3,2,[],1,0,2.000,Brian Moehler,4,25,,0,1,15,0
