at bats, average, batting order, doubles, hit by pitchers, hits, home runs, left on base, name, position, rbi, runs, sacrifice flies, strike outs, triples, walks
2,0,,0,[],0,0,1,Ryan Theriot,2B,0,0,0,1,0,0
4,0,1,0,[],0,0,3,Willy Taveras,CF,0,1,0,4,0,1
0,0,,0,[],0,0,0,Ramon Ramirez,RP,0,0,0,0,0,0
4,500,2,0,[],2,0,2,Kazuo Matsui,2B,1,1,0,1,0,1
5,0,3,0,[],0,0,6,Garrett Atkins,3B,0,0,0,1,0,0
4,500,4,1,[],2,0,1,Todd Helton,1B,0,0,0,0,0,1
5,0,5,0,[],0,0,6,Matt Holliday,LF,0,0,0,3,0,0
5,600,6,0,[],3,0,2,Brad Hawpe,RF,2,1,0,2,0,0
5,400,7,1,[],2,0,4,Troy Tulowitzki,SS,0,1,0,2,0,0
4,250,8,0,[],1,0,2,Chris Iannetta,C,2,1,0,1,0,0
1,0,9,0,[],0,0,0,Aaron Cook,SP,0,0,0,0,0,0
1,1000,,0,[],1,1,0,Jeff Baker,PH,1,1,0,0,0,0
0,0,,0,[],0,0,0,Manny Corpas,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,LaTroy Hawkins,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Jeremy Affeldt,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Steve Finley,CF,0,0,0,0,0,1
4,250,1,0,[],1,0,0,Stephen Drew,SS,0,2,0,0,0,1
5,600,2,1,[],3,0,0,Eric Byrnes,RF,2,1,0,1,0,0
4,750,3,1,[],3,0,0,Orlando Hudson,2B,2,2,1,0,0,0
4,250,4,0,[],1,0,3,Chad Tracy,3B,1,1,0,0,0,1
0,0,,0,[],0,0,0,Brandon Lyon,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Jose Valverde,RP,0,0,0,0,0,0
4,250,5,1,[],1,0,2,Scott Hairston,LF,2,0,0,1,0,1
4,0,6,0,[],0,0,3,Conor Jackson,1B,1,0,0,1,0,1
5,200,7,0,[],1,0,5,Chris Young,CF,0,1,0,0,0,0
2,500,8,0,[],1,0,0,Chris Snyder,C,0,0,0,0,0,1
1,1000,,0,[],1,0,0,Alberto Jose Callaspo,3B,0,1,0,0,0,0
3,0,9,0,[],0,0,3,Brandon Webb,SP,0,0,0,2,0,0
0,0,,0,[],0,0,0,Brandon Medders,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Doug Slaten,RP,0,0,0,0,0,0
0,0,,0,[],0,0,0,Juan Cruz,RP,0,0,0,0,0,0
1,0,,0,[],0,0,2,Tony Clark,PH,0,0,0,0,0,0
0,0,,0,[],0,0,0,Robby Hammock,C,0,0,0,0,0,0
5,0,1,0,[],0,0,4,David DeJesus,CF,0,0,0,1,0,0
5,600,2,1,[],3,0,1,Mark Grudzielanek,2B,3,2,0,0,0,0
4,500,3,0,[],2,0,1,Mark Teahen,RF,1,0,0,2,0,0
4,500,4,0,[],2,0,1,Mike Sweeney,DH,0,0,0,1,0,0
3,0,5,0,['Javier Lopez'],0,0,4,Alex Gordon,3B,0,0,0,2,0,0
3,0,6,0,[],0,0,2,Ryan Shealy,1B,1,0,0,1,0,1
4,250,7,0,[],1,0,3,Ross Gload,LF,0,1,0,0,0,0
4,500,8,1,[],2,1,1,John Buck,C,1,2,0,0,0,0
3,667,9,0,[],2,0,0,Tony Francisco Pena,SS,1,2,0,1,2,1
4,250,1,0,[],1,0,0,Julio Lugo,SS,0,0,0,3,0,0
4,500,2,0,[],2,0,2,Kevin Youkilis,1B,0,1,0,1,0,0
3,333,3,1,['Gil Meche'],1,0,2,David Ortiz,DH,1,0,0,1,0,0
4,0,4,0,[],0,0,2,Manny Ramirez,LF,0,0,0,1,0,0
2,500,5,0,[],1,0,0,JD Drew,RF,0,0,0,0,0,1
1,0,,0,[],0,0,0,Wily Mo Pena,PH,0,0,0,1,0,0
4,250,6,1,[],1,0,3,Mike Lowell,3B,0,0,0,1,0,0
4,0,7,0,[],0,0,2,Jason Varitek,C,0,0,0,1,0,0
3,0,8,0,[],0,0,0,Coco Crisp,CF,0,0,0,1,0,0
3,667,9,0,[],2,0,0,Dustin Pedroia,2B,0,0,0,0,0,0
5,400,1,1,[],2,0,1,Curtis Granderson,CF,0,1,0,1,0,0
5,600,2,0,[],3,0,1,Placido Polanco,2B,1,0,0,0,0,0
3,0,3,0,[],0,0,2,Gary Sheffield,DH,2,0,2,1,0,0
4,250,4,0,[],1,0,2,Magglio Ordonez,RF,0,0,0,0,0,1
5,0,5,0,[],0,0,5,Carlos Guillen,1B,0,0,0,0,0,0
4,0,6,0,[],0,0,0,Ivan Rodriguez,C,0,0,0,2,0,0
3,333,7,0,[],1,0,0,Sean Casey,1B,0,0,0,0,0,1
0,0,,0,[],0,0,0,Neifi Perez,SS,0,0,0,0,0,0
4,0,8,0,[],0,0,2,Craig Monroe,LF,0,0,0,4,0,0
3,0,9,0,[],0,0,1,Brandon Inge,3B,0,2,0,0,0,1
4,0,1,0,[],0,0,2,Reed Johnson,LF,0,1,0,0,0,1
4,500,2,1,[],2,0,1,Lyle Overbay,1B,1,1,0,0,0,1
0,0,,0,[],0,0,0,Jason Smith,PR,0,1,0,0,0,0
0,0,,0,[],0,0,0,Jason Phillips,1B,0,0,0,0,0,0
4,250,3,0,[],1,0,2,Vernon Wells,CF,1,2,0,1,0,1
4,250,4,0,['Fernando Rodney'],1,0,1,Frank Thomas,DH,0,0,0,2,0,0
4,250,5,0,[],1,0,2,Troy Glaus,3B,1,0,0,0,0,1
5,200,6,1,[],1,0,4,Alex Rios,RF,2,0,0,1,0,0
5,0,7,0,[],0,0,4,Gregg Zaun,C,0,0,0,1,0,0
3,0,8,0,[],0,0,0,Aaron Hill,2B,0,0,0,0,0,1
2,500,9,0,[],1,0,0,Royce Clayton,SS,0,0,0,0,0,1
1,0,,0,[],0,0,1,Matt Stairs,PH,0,0,0,0,0,0
0,0,,0,[],0,0,0,John McDonald,SS,0,0,0,0,0,0
5,600,1,1,[],3,0,0,Luis Castillo,2B,0,1,0,0,0,0
5,400,2,2,[],2,0,1,Nick Punto,3B,1,1,0,1,0,0
3,333,3,0,[],1,0,2,Joe Mauer,C,0,1,0,0,0,1
4,250,4,0,[],1,0,6,Michael Cuddyer,RF,0,1,0,3,0,0
4,750,5,0,[],3,1,0,Justin Morneau,1B,2,1,0,0,0,0
4,500,6,1,[],2,1,2,Torii Hunter,CF,2,1,0,1,0,0
3,0,7,0,[],0,0,1,Rondell White,LF,0,0,0,0,0,1
2,500,8,0,[],1,0,0,Jeff Cirillo,DH,1,0,0,0,0,1
1,0,,0,[],0,0,0,Jason Tyner,DH,0,1,0,0,0,0
4,0,9,0,[],0,0,3,Jason Bartlett,SS,0,0,0,1,0,0
3,333,1,0,[],1,0,0,Brian Roberts,2B,0,0,0,2,0,2
5,0,2,0,[],0,0,4,Melvin Mora,3B,0,0,0,2,0,0
3,0,3,0,[],0,0,1,Nick Markakis,RF,0,1,0,0,0,1
4,500,4,0,[],2,1,1,Miguel Tejada,SS,1,1,0,0,0,0
4,500,5,1,[],2,0,1,Aubrey Huff,1B,1,1,0,1,0,0
4,500,6,2,[],2,0,1,Jay Gibbons,LF,1,1,0,1,0,0
4,0,7,0,[],0,0,3,Kevin Millar,DH,0,0,0,1,0,0
4,250,8,1,[],1,0,1,Corey Patterson,CF,1,0,0,0,0,0
2,0,9,0,[],0,0,1,Paul Bako,C,0,0,0,1,0,1
1,0,,0,[],0,0,0,Freddie Lee Bynum,PH,0,0,0,0,0,0
3,333,1,1,[],1,0,2,Pablo Ozuna,LF,0,1,0,0,0,0
2,0,,0,[],0,0,0,Rob Mackowiak,LF,0,0,0,2,0,0
4,250,2,0,[],1,1,0,Darin Erstad,CF,2,1,0,0,0,0
4,0,3,0,[],0,0,0,Jim Thome,DH,0,0,0,2,0,0
3,667,4,0,[],2,1,0,Paul Konerko,1B,1,1,0,0,0,1
4,250,5,0,[],1,0,1,Jermaine Dye,RF,0,0,0,0,0,0
3,333,6,0,[],1,0,1,Joe Crede,3B,0,0,0,0,0,0
1,1000,,0,[],1,0,0,Alex Cintron,3B,0,1,0,0,0,0
3,0,7,0,[],0,0,3,Tadahito Iguchi,2B,0,0,0,0,0,0
1,1000,,1,[],1,0,0,Brian N Anderson,PH,0,1,0,0,0,0
3,0,8,0,[],0,0,3,AJ Pierzynski,C,0,0,0,1,0,0
0,0,,0,[],0,0,0,Gustavo Molina,C,1,0,1,0,0,0
4,500,9,0,[],2,0,0,Juan Uribe,SS,1,0,0,0,0,0
4,500,1,0,[],2,1,0,Grady Sizemore,CF,1,3,0,1,0,1
4,750,2,1,[],3,0,0,Trot Nixon,RF,0,3,0,1,0,1
0,0,,0,[],0,0,0,Jason Michaels,RF,0,0,0,0,0,0
5,400,3,0,[],2,0,2,Travis Hafner,DH,1,3,0,0,0,0
4,500,4,1,[],2,0,1,Victor Martinez,C,3,0,0,1,0,1
4,250,5,1,[],1,0,3,Casey Blake,1B,1,2,1,1,0,0
4,0,6,0,[],0,0,4,David Dellucci,LF,0,0,0,2,0,1
3,667,7,0,[],2,0,0,Jhonny Peralta,SS,3,1,0,0,0,1
1,0,,0,[],0,0,0,Mike Rouse,SS,0,0,0,0,0,0
5,200,8,0,[],1,0,3,Josh Barfield,2B,2,0,0,1,1,0
