average punt return, average punt return yards, longest punt return, name, punt return touchdowns, punt returns
1.000,,1,Devin Hester,0,1
31.000,,31,Jacoby Jones,0,1
0.000,,0,Julian Edelman,0,0
3.000,,3,Davone Bess,0,1
20.000,,22,Stefan Logan,0,2
0.000,,0,Mewelde Moore,0,0
5.000,,15,Darius Reynaud,0,4
0.000,,0,Domenik Hixon,0,0
17.000,,31,Jerricho Cotchery,0,3
6.000,,6,Brad Smith,0,1
25.000,,40,Quan Cosby,0,2
14.000,,56,Danny Amendola,0,5
8.000,,18,Arnaz Battle,0,5
10.000,,10,Micheal Spurlock,0,1
0.000,,0,Eric Weems,0,1
2.000,,3,Steve Breaston,0,2
8.000,,13,Jordy Nelson,0,2
2.000,,8,Alphonso Smith,0,2
0.000,,5,Josh Barrett,0,0
0.000,,0,Bobby Wade,0,0
3.000,,6,Johnnie Lee Higgins,0,2
16.000,,27,Chris Carr,0,2
-1.000,,-1,Darren Sproles,0,1
0.000,,0,Craig Davis,0,0
22.000,,43,Antwaan Randle El,0,2
8.000,,8,Justin Forsett,0,1
12.000,,13,Alvin Pearman,0,2
23.000,,23,Rico Murray,0,1
0.000,,0,Quan Cosby,0,0
13.000,,15,Jerricho Cotchery,0,2
18.000,,31,Patrick Crayton,0,3
4.000,,8,DeSean Jackson,0,2
28.000,,28,Julian Edelman,0,1
0.000,,0,Kevin Faulk,0,0
34.000,,34,Chris Carr,0,1
0.000,,0,Tom Zbikowski,0,1
6.000,,6,Steve Breaston,0,1
36.000,,83,Reggie Bush,1,3
0.000,,0,Steve Breaston,0,0
7.000,,11,TJ Rushing,0,4
0.000,,0,Chris Carr,0,2
1.000,,3,Darren Sproles,0,2
0.000,,0,Antonio Cromartie,0,1
11.000,,25,Jerricho Cotchery,0,3
0.000,,0,Darius Reynaud,0,0
0.000,,0,Patrick Crayton,0,1
0.000,,0,Terence Newman,0,0
0.000,,0,Reggie Bush,0,1
5.000,,9,Darius Reynaud,0,3
4.000,,4,TJ Rushing,0,1
12.000,,12,Jerricho Cotchery,0,1
0.000,,0,TJ Rushing,0,1
4.000,,4,Reggie Bush,0,1
