kickoff return yards, kickoff returns, longest kickoff return, name
15,1,15,L Pitts
79,4,31,T Allen
-4,1,0,D Gibson
14,1,14,J Smith
11,1,11,J Edwards
5,1,5,M Raby
81,3,46,C LeBlanc
15,2,7,R Brown
80,2,60,R Whatley
53,2,38,S Patton
21,1,21,L Purifoy
57,3,21,V Dallas
66,2,41,L Whitfield
20,1,20,K Shaw
37,2,19,M Jones
37,3,35,D Baker
15,1,15,D Dixon
15,1,15,J Davis
19,1,19,J Green
158,4,99,B Chancellor
15,1,15,D Miller
95,3,41,J Golden
115,4,42,S Tapley
22,1,22,D Ayers
40,2,21,M Hull
22,1,22,S Houston
18,1,18,M Murphy
36,1,36,M Plewa
29,1,29,J Cotton
104,5,31,D Chance
27,2,16,K Lark
17,1,17,B Bourbon
17,1,17,A Guillot
13,1,13,D Banks
93,1,93,C Gaines
47,3,19,C Taylor
19,1,19,O Beckham Jr
14,1,14,T Mason
31,1,31,W Likely
63,3,24,R Carswell
56,3,21,W Smallwood
36,2,18,T Dudley Giles
60,2,42,D Sims
44,2,22,J Craig
82,3,38,J McKissic
95,1,95,D Johnson
88,1,88,S Coley
58,3,32,D Daniels
46,3,24,C Frazier
15,1,15,D Scott
16,1,16,R Abernathy IV
21,1,21,M Jones
0,1,0,K Maye
83,5,25,D Ogburn Jr
13,1,13,T Crawley
21,1,19,J Lewis
29,2,20,W Van Hooser
23,2,13,C Worthy
21,1,21,B Burks
63,2,34,K Bell
5,1,5,C Zimmerer
24,1,24,D Wright
17,1,17,J Forsythe
12,1,12,N Westbrooks
42,2,23,C Gant
19,1,19,D King Jr
34,3,21,T Lewis
17,1,17,P Logan
16,1,16,G Bowers
4,1,4,R Sterling
93,5,29,T Pendergrass
21,1,21,N Beard
0,1,0,A Helms
72,3,28,M Harris
70,3,35,D Aultman
10,1,10,S Malone
67,3,27,G Atkinson III
16,1,16,M Kings Jr
8,1,8,N Hill
84,4,27,J Owens
39,2,20,A McBurse
38,2,20,P Aiken
37,1,37,D Patterson
53,3,19,T Oliver
18,1,18,L Chatman
13,1,13,M Carlton
15,1,15,V Walker
111,5,35,D Polk
33,2,22,J Boyle
17,1,17,Q Pratt
16,1,16,J Grant
38,2,23,K Hatcher
20,1,20,E Hawkins
101,4,35,C Lockett
75,4,23,V Bolden
81,3,50,T Montgomery
10,1,10,J Cummings
64,3,30,M Grice
24,1,24,R Smith
19,1,19,J Strong
15,1,15,G Morris II
61,2,46,D Breaux
39,2,25,J Shackleford
0,1,0,M Wadleigh
72,3,30,K Sanders
96,4,40,T Lockett
54,3,23,T Williams
60,4,18,J Taylor
21,1,21,A Erickson
20,1,20,G Franklin
14,1,14,D Powell
43,2,23,E Eagan
70,1,70,S Manfro
16,1,16,D Andrews
-5,1,0,R Hofmeister
74,4,26,A Shapiro
33,2,20,J Matthews
16,1,16,K Whitely
46,2,25,K Hammonds
38,3,20,A Ford
34,1,34,M Lee
15,1,15,N Agholor
38,2,19,T Glover Wright
111,2,100,A Golden
21,1,21,J Bell
37,2,20,K Jones
13,1,13,J Monroe
32,1,32,D Jennings
67,3,26,D Forlines
32,2,17,J Fruehan
14,1,14,T Stout
66,3,30,D Knowles
47,2,25,D Reaves
9,1,9,K Smith
40,3,16,C Gupton
45,1,45,T Caldwell
81,4,28,D Epps
27,2,15,R Montgomery
53,2,27,K Zuleger
148,6,45,A Hunt
20,1,20,R Mostert
28,1,28,W McNeal
19,1,19,A Andrews
12,1,12,N Norris
11,1,11,C Franks
60,3,20,C Flowers
38,2,20,O Johnson
21,2,21,T Taylor
29,2,20,B Snoddy
20,1,20,D Knowles
42,2,29,T Watts
25,1,25,D Walker Jr
19,1,19,Z Langer
32,1,32,A Wimberly
14,1,14,A Gary
90,1,90,A Hine
50,2,33,P Lasike
4,1,4,J Falslev
62,2,50,K Gilstrap
45,2,24,R Whatley
59,3,24,D Ogburn Jr
37,3,17,T Crawley
54,1,54,T Glover Wright
0,1,0,T Reynolds
40,2,21,K Moore
32,2,19,J Walton
74,3,38,K Marshall
51,2,35,K Hatcher
57,2,35,T Williams
78,3,36,M Grice
12,1,12,R Smith
31,2,20,M Lee
19,1,19,K Seymour
5,1,5,N Agholor
53,2,38,J Smith
51,2,34,B Reedy
11,1,11,D Harper
114,3,71,M Willis
48,3,23,D Dudeck
17,1,17,L Whitfield
40,2,20,D Burroughs
51,2,31,J Sims
36,3,17,J Hester
53,3,22,F Bickley
128,4,51,D Campbell
37,2,19,W Stanback
16,1,16,M Reed
31,1,31,B Ellington
18,1,18,R McDowell
68,3,43,O Reynolds
38,2,19,J Armstrong
75,3,35,T Coffman
42,2,21,T Simmons
86,4,28,A Golden
41,2,23,J Bell
7,1,7,C Wenrick
30,1,18,D Edwards
18,1,18,J Barnes
-4,1,0,D Beilinson
35,3,21,W Van Hooser
20,1,20,B Burks
14,1,14,D White
51,3,19,R Davis
23,1,23,K Karempelis
175,7,33,O Beckham Jr
105,3,47,C Gant
1,1,1,T Lataimua
87,3,44,D Root
11,1,11,T Thomas
53,3,24,D Epps
44,2,24,R Montgomery
52,2,30,R Anderson
19,1,19,J Thomas
2,1,2,E Wilson
22,1,22,J Westbrook
19,1,19,R Williams
19,1,19,J Blue
14,1,14,S Patton
17,1,17,D Butler
111,4,41,T King
23,1,23,A Guillot
42,2,22,S Williams
6,1,6,J Noble
92,3,53,A Johnson
66,1,66,M Jones
40,2,25,J Cotton
90,4,28,M Murphy
27,1,27,J McKissic
153,7,45,T Thorpe
92,4,25,L Ray
51,3,22,J Alston
79,2,54,C Williams
45,2,27,J Harris
36,2,18,N Westbrooks
12,1,12,A Bradley
-2,1,0,T Houk
70,3,27,A LaCoste
20,1,20,A Shapiro
49,2,26,C Lockett
87,5,21,C Wiggins
46,2,28,D Anaya
92,5,24,S Murray Lawrence
19,1,19,K Whitely
29,1,29,G Atkinson III
40,1,40,T Franks
35,2,24,R Finch
66,3,24,D Wilson
21,1,21,J Hall
54,3,21,K Zuleger
27,1,27,D Thomas
19,1,19,T Hill
66,3,28,B Treggs
25,1,25,K Muhammad
27,1,27,M Marable
44,2,23,R Severson
36,1,36,M Mosley
17,1,17,N Spruce
40,2,26,D Jennings
5,1,5,D Terrell
61,3,25,A Hunt
59,3,21,R Mostert
146,3,99,T Lewis
17,1,17,R Sterling
52,3,18,D Hopkins
40,2,23,D Johnson
26,1,26,M Lewis
55,2,30,B Catalon
45,1,45,L Brown
109,5,34,A Stafford
66,3,24,J Toney
20,1,20,V Dallas
32,2,17,T Glover
41,2,22,A Erickson
19,1,19,J Claiborne
96,5,25,K Jones
84,3,35,J Monroe
39,1,39,M Ambles
32,2,17,D Ayers
20,1,20,D Payne
4,1,4,L Stice
96,4,42,D Sims
18,1,18,A Hal
23,2,17,G Franklin
19,1,19,J Staples
8,1,8,S Jones
49,1,49,K Williams
10,1,10,K Smith
6,1,6,J Ross
59,3,26,N Phillips
13,1,13,J Jackson
71,3,28,R Galvin
51,3,18,T Caldwell
21,2,19,A Jackson
42,2,22,T Montgomery
20,1,20,K Young
33,2,26,A Andrews
59,3,23,M Thomas
1,1,1,Q Ezell
81,4,24,D Chance
37,2,26,E Calhoun
10,1,10,C Humphrey
15,1,15,C Sims
14,2,14,R Carswell
62,2,40,D Roland
24,1,24,J Stewart
20,1,20,J Gilbert
39,1,39,J West
47,3,18,D Johnson
17,1,17,K Sanders
83,4,28,C Davis
44,2,25,D McClellon
110,5,31,S Manfro
78,4,23,E Judge
13,1,13,T Vizzi
45,3,23,N Westbrooks
57,3,23,T Glover Wright
21,1,21,J Falslev
45,3,27,D Phillips
33,2,18,M Traylor Bennett
15,2,14,F Bickley
28,1,28,T Carrie
24,1,24,D Bass
17,2,9,H Jones
56,3,25,K Hill
52,3,23,A Wilson
12,1,12,P Lee
53,2,37,T Mason
45,2,25,J Walton
37,2,25,L Norwood
11,1,11,C Fuller
155,7,38,W Smallwood
16,0,16,I Bruce
14,1,14,V Davis
111,3,46,M Willis
0,1,0,D Dudeck
0,1,0,T Joy
7,1,7,J Crockett
36,2,20,T Dudley Giles
127,2,96,D Campbell
27,1,27,B Ross
99,5,24,T Allen
48,2,26,D Scott
78,4,28,B Bigelow
71,4,19,B Treggs
45,2,26,R Galvin
4,1,4,Z Brevick
134,5,30,R Severson
54,2,29,M Adkins II
2,1,2,T Hill
2,1,2,K Lowe
21,3,16,K Marshall
19,1,19,K Hatcher
12,1,12,L Whitfield
73,4,32,W Likely
90,3,54,B Poueu Luna
66,3,24,C Gant
66,2,45,T Crawley
66,3,31,R Montgomery
62,2,34,N Lovett
50,2,34,D Root
13,1,13,S Wynn
64,3,30,E Lewis
16,1,16,J Cotton
29,1,29,R Shelton
87,3,35,J Shepherd
77,3,30,D Miller
21,2,15,B Bourbon
19,1,19,R Davis
100,1,100,D Archer
62,3,22,E Calhoun
22,2,19,C Humphrey
49,2,29,T Lewis
16,1,16,P Logan
12,1,12,R Sterling
24,1,24,M Carter
211,3,100,B Smith
74,4,24,A Erickson
4,1,4,M Gilmore
72,4,29,M Warford
32,1,32,J Craig
16,1,16,R Hall
114,4,44,D Johnson
69,3,34,L Griffin
46,3,19,D Smelter
47,3,22,R Williams
35,2,19,J Harris
52,2,29,D Norfleet
63,2,45,M Jones
30,3,13,T Olson
48,1,48,D Reaves
13,1,13,E Taliaferro
30,1,30,J Williams
90,3,46,J Lewis
19,1,19,R Johnson
111,5,29,O Beckham Jr
39,2,21,R Whatley
71,2,51,L Ray
19,1,19,M Thomas
39,2,20,A LaCoste
22,1,22,S Gagliano
26,1,26,K Bell
64,3,26,V Bentley
32,1,32,M Osei
127,2,100,C Wiggins
11,1,11,N DAvanzo
95,5,24,A Shapiro
19,1,19,A Franklin
81,4,24,M Harris
38,1,38,V Mark
19,1,19,D Wilson
83,5,22,C McDaniel
34,1,34,G Atkinson III
21,1,21,M Grice
18,1,18,B Catalon
76,3,32,B Sheperd
21,1,21,J Gilbert
56,4,17,M Burns
22,1,22,T Lockett
14,1,14,J Hubert
0,1,0,L Dowling
77,4,35,B Ellington
0,1,0,S Jeffery
25,1,25,J Blue
19,1,19,R Sanders III
15,1,15,D Robinson
15,1,15,M Pierre
69,3,25,J Sims
48,1,48,E Johnson
16,1,16,B Johnson
6,1,6,J Richard
18,1,18,C Taylor
36,2,21,J Taylor
24,3,13,Jr
48,2,31,J Grant
14,1,14,M Burton
204,4,99,T Montgomery
7,1,7,J Hemschoot
36,2,25,J Ross
73,4,24,D McFarlane
34,2,18,G Morris II
31,2,19,G Hopper
124,6,32,J Thomas
23,1,23,R Anderson
21,1,21,C Gaines
11,1,11,V Dallas
18,1,18,R Davis
33,2,19,D Boutte
21,1,21,D Butler
90,3,41,B Chancellor
12,1,12,M Hull
55,3,24,B Reedy
46,2,32,C Jones
45,2,27,D Chance
60,2,51,B Burks
42,2,26,W Van Hooser
19,2,12,D White
80,3,37,T Glover
12,1,12,P Moore
152,4,45,G Franklin
19,1,19,D McKinney
45,2,27,A Golden
18,1,18,J Bell
40,3,26,H Lee
33,1,33,T King
75,4,24,B Kimbrow
125,5,37,D Jennings
18,2,15,T Mizzell
12,1,12,C Wingo Reeves
81,4,27,J Smith
22,1,22,T Thorpe
21,1,21,T Logan
