interception touchdowns, interception yards, interceptions, name
0,0,1,J Ward
0,33,1,J Glenn
0,0,2,T Plummer
0,30,1,L Gunter
0,3,1,R Jenkins
0,43,1,Q Nealy
0,13,1,C Milton
0,8,1,C Wade
0,72,1,B Countess
0,13,1,E McKelvey
0,0,1,R Myers
0,0,1,A Leggett
0,0,1,N Whitley
0,40,1,T White
0,0,1,A Armstrong
0,0,1,D Magazu
0,12,2,C Johnson
0,6,1,J Ankrah
0,26,1,T Newman
0,12,1,S Edwards
0,5,1,C Ariguzo
0,7,1,C Grant
0,14,1,D Fox
0,10,1,M Farley
0,37,1,O Irabor
0,72,1,D Lowe
0,24,1,S Lewis
0,3,1,C Lavey
0,15,2,M Joyce
0,14,1,D Miller
0,0,1,E Johnson
0,17,1,D Jones
0,0,1,R Harvey
0,0,1,K Acker
0,15,1,A Tarpley
0,0,1,M Peters
0,0,1,R Desir
0,0,1,J Whigham
0,0,1,B Breeland
0,0,2,D Robinson
0,0,1,J Kearse
0,0,1,T Floyd
1,67,2,L Doss
0,5,1,D Walker Jr
0,32,1,J White
0,0,1,M Hill
0,3,2,C Whitaker
0,44,1,A Barnes
0,15,1,K Brothers
0,0,1,J Garrett
0,13,1,K Jarrett
0,-3,1,K Fuller
0,45,1,K Johnson
0,0,1,M Noel
0,21,1,D Johnson
0,0,1,K George
0,39,1,J Burgess
0,0,1,C Pryor
0,0,1,H Smith
0,-2,1,T Floyd
0,0,1,J Deering
0,20,1,Z Edwards
0,43,1,R Hayes
0,37,1,T Williams
0,21,1,V Hampton
0,0,1,J Trimble
0,10,1,J Mincy
0,0,1,F Payne
0,26,1,D Randall
0,20,1,L Carrington
0,0,1,R Nelson
0,8,1,J Garrett
0,18,1,D Polk
0,0,1,K Stalls
0,51,1,A Fua
0,4,1,K Wiggins
0,0,1,B Jones
0,0,1,T Matthews
0,0,1,B Benwikere
0,0,1,J Pruitt
0,0,1,J Cash
0,0,1,D Smith
0,10,1,J Holmes
0,0,1,J Jean
0,9,1,J Robinson
0,0,1,T Batiste
0,20,1,C Pickett
0,6,1,R Ponder
0,1,1,K Brothers
0,0,1,A Dixon
0,25,2,K Bailey Smith
0,0,1,D Brown
0,0,1,C Dupuy
0,0,1,H Harding
0,0,1,R Williamson
0,3,1,T Bennett
0,8,1,K Lewis
0,0,1,D Claiborne
0,34,1,J Gates
0,50,2,J Tocho
0,32,1,D Eskridge
0,0,1,J Ward
0,20,1,L Lee
0,15,1,T Barber
0,0,1,X Walker
0,0,1,T Ingol
0,23,1,K Frazier
0,0,1,B Greer
0,18,1,A Zettel
0,14,1,J Lucas
0,4,1,R Taylor
0,1,1,J Wilson
0,0,1,A Garcia
0,0,1,F Williams
0,0,1,A Logan
0,12,1,L Alexander
0,0,1,J Verrett
0,32,1,J Shepherd
0,2,1,I Johnson
0,31,1,C Whaley
0,0,1,D Thomas
0,54,1,G Grissom
0,99,1,D Strozier
0,22,1,D Magazu
0,35,1,A Matthews
0,1,1,D Mayo
0,146,2,I Newsome
0,7,1,J George
0,31,1,R Goforth
0,12,1,T Henderson
0,7,1,J Hemschoot
0,12,1,W Barrow
0,0,1,S Jackson
0,65,2,N Lawson
0,0,1,B Suite
0,2,1,B Douglas
0,0,1,D Deayon
0,0,1,E Dargan
0,13,0,T Pritchard
0,0,1,A Carpenter
0,-1,1,D Horton
0,18,2,R Reynolds
0,0,1,S Nelson
0,0,1,S Martin
0,0,1,S Shelton
0,0,1,I Campbell
0,0,1,J Hall
0,6,1,N Johnson
0,4,1,M Baker
0,6,1,J Sampson
0,99,1,A Riles
0,1,1,T Worthy
0,21,1,T Boston
0,0,1,N Otis
0,0,2,D Green
0,0,2,T Howard
0,0,1,C Pryor
0,8,1,H Clinton Dix
0,1,1,C Jones
0,14,1,M Flowers
0,0,1,S Richardson
0,0,1,M Peters
0,17,1,S Holl
0,0,1,J Williams
0,0,1,L Jones
0,35,1,K Mack
0,0,1,R Reynolds
0,0,1,L Scott
0,95,1,M Tyson
0,47,1,D Drane
0,0,1,H Wilder
0,20,1,W Lee
0,29,1,B Breeland
0,15,1,L Joyner
0,12,1,R Darby
0,1,1,J Cherocci
0,3,1,J Faustin
0,34,1,D Magazu
0,2,1,I Spearman
0,1,1,X Hughes
0,0,1,D Bass
0,27,1,F Crawford
0,0,1,Q Nealy
0,0,1,L Young
0,0,1,R Anderson
0,29,1,D Mathews
0,0,2,T Bates
0,22,1,D Sorensen
0,6,1,S Hadley
0,-3,1,A Fua
0,0,1,J Shepherd
0,3,1,I Enemkpali
0,66,2,Z Whitfield
0,0,1,I Lewis
0,93,1,R Ball
0,19,1,B Barnes
0,0,1,B Ford
0,41,2,T Gordon
0,0,1,C Brown
0,0,1,C Prewitt
0,0,1,C Sawyer
0,3,1,A Penton
0,30,1,B Poole
0,5,1,A Laudenslager
