defensive two point conversion, forced fumble, forced fumbles, fumble return touchdowns, fumble return yards, interception return touchdowns, interceptions, name, sacks, safeties, tackle assists, tackles
,,0,0,,0,0,Michael Bennett,0.000,0,1.000,0
,,0,0,,0,1,Thomas Davis,1.000,0,0.000,7
,,0,0,,0,0,Luke Kuechly,1.000,0,0.000,7
,,0,0,,0,0,AJ Klein,0.000,0,0.000,6
,,0,0,,0,0,Bene Benwikere,0.000,0,1.000,5
,,1,0,,1,1,Josh Norman,0.000,0,1.000,4
,,0,0,,0,0,Charles Tillman,0.000,0,0.000,4
,,0,0,,0,0,Kurt Coleman,0.000,0,0.000,3
,,0,0,,0,0,Mario Addison,2.000,0,0.000,2
,,0,0,,0,0,Charles Johnson,1.000,0,0.000,2
,,0,0,,0,0,Kawann Short,0.000,0,0.000,2
,,0,0,,0,0,Roman Harper,0.000,0,0.000,1
,,0,0,,0,0,Wes Horton,0.000,0,0.000,1
,,0,0,,0,0,Kyle Love,0.000,0,0.000,1
,,1,0,,0,0,Calvin Pryor,0.000,0,2.000,8
,,0,0,,0,0,Marcus Gilchrist,0.000,0,0.000,6
,,0,0,,0,0,David Harris,1.000,0,2.000,6
,,0,0,,0,0,Damon Harrison,0.000,0,1.000,4
,,0,0,,0,0,Muhammad Wilkerson,1.000,0,2.000,3
,,0,0,,0,1,Marcus Williams,0.000,0,0.000,3
,,0,0,,0,0,Demario Davis,0.000,0,2.000,2
,,0,0,,0,0,Darrelle Revis,0.000,0,2.000,2
,,0,0,,0,0,TJ Barnes,0.000,0,1.000,1
,,1,0,,0,0,Trevor Reilly,1.000,0,0.000,1
,,0,0,,0,0,Buster Skrine,0.000,0,0.000,1
,,0,0,,0,0,Leonard Williams,0.000,0,4.000,1
,,0,0,,0,0,Quinton Coples,0.000,0,1.000,0
,,1,0,,0,0,Lorenzo Mauldin,0.000,0,0.000,0
,,0,0,,0,0,Calvin Pace,0.000,0,1.000,0
,,0,0,,0,0,Karlos Dansby,0.000,0,3.000,4
,,0,0,,0,0,Joe Haden,0.000,0,2.000,4
,,0,0,,0,0,Donte Whitner,0.000,0,6.000,4
,,0,0,,0,0,Tramon Williams,0.000,0,1.000,3
,,0,0,,0,1,Tashaun Gipson,0.000,0,3.000,2
,,0,0,,0,0,Paul Kruger,0.000,0,2.000,2
,,0,0,,0,0,Armonty Bryant,0.000,0,2.000,1
,,0,0,,0,0,Barkevious Mingo,0.000,0,1.000,1
,,0,0,,0,0,Craig Robertson,0.000,0,3.000,1
,,0,0,,0,0,Danny Shelton,0.000,0,1.000,1
,,0,0,,0,0,Randy Starks,0.000,0,3.000,1
,,0,0,,0,0,K Waun Williams,0.000,0,1.000,1
,,0,0,,0,0,Desmond Bryant,0.000,0,4.000,0
,,0,0,,0,0,John Hughes,0.000,0,1.000,0
,,0,0,,0,0,Chris Kirksey,0.000,0,2.000,0
,,0,0,,0,0,Jamie Meder,0.000,0,2.000,0
,,0,0,,0,0,Jordan Poyer,0.000,0,2.000,0
,,0,0,,0,0,Scott Solomon,0.000,0,1.000,0
,,0,0,,0,0,Larry Asante,0.000,0,1.000,7
,,0,0,,0,0,Malcolm Smith,0.000,0,1.000,6
,,0,0,,0,0,TJ Carrie,0.000,0,1.000,5
,,0,0,,0,0,Charles Woodson,0.000,0,2.000,5
