assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, rebounds, steals, three pointers attempted, three pointers made, turnovers
3,0,1,7,2,1,6,6,21.783,Erin Phillips,0,10,11,1,1,4,1,0
1,0,1,2,0,0,0,0,4.717,Shavonte Zellous,0,-3,0,1,0,1,0,1
0,0,0,0,0,0,0,0,3.983,Shyra Ely Gash,0,-5,0,0,0,0,0,0
0,0,0,1,0,1,0,0,2.083,Jeanette Pohlen,0,-6,0,0,0,1,0,0
4,0,3,11,3,3,0,0,28.433,Nicole Powell,0,-4,7,3,2,3,1,2
2,0,1,12,6,3,1,1,26.833,Plenette Pierson,3,-2,13,4,1,0,0,2
0,1,8,5,4,3,0,0,27.583,Kia Vaughn,1,6,8,9,0,0,0,0
1,1,3,9,4,3,0,0,22.167,Essence Carson,1,5,8,4,1,1,0,2
3,1,2,17,9,1,0,0,33.317,Cappie Pondexter,1,6,21,3,0,7,3,4
0,0,2,4,2,1,2,2,12.150,Quanitra Hollingsworth,2,-2,6,4,1,0,0,0
1,0,2,4,2,1,2,2,13.167,Jessica Breland,1,3,6,3,1,0,0,0
2,0,1,2,1,3,0,0,17.017,Leilani Mitchell,0,-3,3,1,1,2,1,1
2,0,1,2,1,1,0,0,8.200,Alex Montgomery,0,-6,2,1,1,0,0,1
1,0,0,5,3,1,0,0,11.117,Sidney Spencer,0,2,7,0,0,3,1,0
0,0,1,2,0,0,0,0,7.317,Jennifer Lacy,0,-8,0,1,1,1,0,1
2,0,4,8,4,3,2,2,26.550,Tiffany Jackson Jones,2,-19,10,6,0,0,0,3
4,0,3,3,0,1,0,0,13.750,Sheryl Swoopes,0,-9,0,3,2,1,0,0
3,0,0,12,4,2,2,2,22.250,Ivory Latta,0,-12,10,0,2,1,0,3
1,0,4,14,6,3,1,0,30.733,Kayla Pedersen,3,-20,12,7,1,3,0,0
0,0,0,1,0,0,0,0,5.750,Marion Jones,0,-7,0,0,1,0,0,0
1,0,0,5,2,5,2,2,21.983,Andrea Riley,0,-29,8,0,0,4,2,0
1,1,3,2,0,4,2,0,18.917,Miranda Ayim,2,-8,0,5,0,0,0,2
2,0,2,10,5,4,0,0,26.267,Chastity Reed,0,-18,10,2,0,0,0,2
1,2,4,9,2,4,8,8,26.483,Liz Cambage,0,-25,12,4,0,0,0,2
0,0,4,6,6,1,2,2,21.150,Roneeka Hodges,0,14,19,4,0,5,5,0
2,0,4,9,4,2,7,4,20.450,Sophia Young,0,21,12,4,1,0,0,0
3,1,2,4,2,2,0,0,14.200,Ruth Riley,0,10,4,2,0,0,0,1
3,0,1,1,1,0,0,0,14.450,Tully Bevilaqua,0,8,3,1,0,1,1,1
6,0,3,9,5,1,0,0,21.350,Becky Hammon,0,22,11,3,2,3,1,1
0,0,2,8,3,5,6,5,25.800,Danielle Adams,2,21,11,4,0,3,0,3
2,0,3,8,5,0,2,1,18.850,Jia Perkins,1,17,13,4,0,4,2,2
4,1,0,5,2,4,5,4,25.550,Danielle Robinson,1,23,8,1,2,0,0,3
0,1,8,5,4,3,0,0,19.550,Porsha Phillips,0,10,8,8,0,0,0,0
1,0,2,7,2,1,1,0,18.650,Scholanda Robinson,1,9,4,3,3,1,0,2
4,0,8,6,1,1,0,0,31.267,Cathrine Kraayeveld,3,8,3,11,1,5,1,1
2,2,3,8,4,3,7,4,29.600,Michelle Snow,1,14,12,4,0,0,0,2
1,3,10,19,11,2,3,1,32.917,Sylvia Fowles,3,5,23,13,1,0,0,2
7,1,5,13,5,3,3,1,36.100,Epiphanny Prince,0,5,11,5,3,3,0,1
5,0,0,10,7,5,0,0,30.350,Courtney Vandersloot,0,4,18,0,0,4,4,3
1,0,2,2,1,1,0,0,9.817,Lindsay Wisdom Hylton,0,-7,2,2,1,0,0,0
2,0,1,6,4,2,2,1,17.483,Dominique Canty,0,-8,9,1,0,0,0,2
0,0,1,0,0,1,0,0,2.733,Tamera Young,0,2,0,1,0,0,0,1
0,0,1,2,0,0,0,0,6.800,Erin Thorn,0,-2,0,1,0,2,0,0
0,0,0,0,0,1,0,0,2.933,Carolyn Swords,0,-6,0,0,0,0,0,0
2,0,6,1,1,2,0,0,23.633,Kalana Greene,0,-2,3,6,1,1,1,1
0,0,2,17,9,3,4,2,30.400,Asjha Jones,0,-3,20,2,0,0,0,1
1,5,3,9,4,4,0,0,27.683,Tina Charles,1,-7,8,4,1,0,0,1
4,0,2,5,2,0,0,0,27.400,Kara Lawson,0,-7,5,2,2,4,1,2
4,0,2,15,6,0,11,8,32.183,Renee Montgomery,0,-6,22,2,1,5,2,3
4,0,4,6,2,1,2,2,21.483,Tan White,1,7,6,5,1,2,0,1
0,0,3,2,0,2,0,0,9.200,Danielle McCray,0,-5,0,3,0,1,0,1
1,0,2,8,3,0,0,0,10.317,Kelsey Griffin,2,4,8,4,0,4,2,0
0,0,1,1,0,2,2,1,11.200,DeMya Walker,0,2,1,1,0,0,0,0
0,0,1,2,1,0,0,0,6.100,Allison Hightower,0,4,2,1,0,0,0,0
0,0,0,0,0,0,0,0,0.400,Jessica Moore,0,-2,0,0,0,0,0,0
2,0,2,10,6,5,4,4,23.483,DeLisha Milton Jones,0,9,18,2,2,5,2,1
5,2,6,17,8,1,7,6,37.667,Candace Parker,2,12,22,8,2,1,0,2
3,0,6,11,7,1,3,3,32.517,Tina Thompson,3,10,21,9,2,7,4,0
1,0,0,5,2,2,4,4,26.483,Noelle Quinn,0,0,9,0,1,3,1,0
5,0,3,2,1,0,2,2,21.400,Ticha Penicheiro,0,2,4,3,1,0,0,1
2,0,0,2,1,0,0,0,11.383,Jenna OHea,0,7,2,0,0,1,0,1
1,0,6,4,2,3,0,0,19.500,Ebony Hoffman,0,11,5,6,2,2,1,3
3,0,0,13,6,0,0,0,25.233,Kristi Toliver,0,17,17,0,0,9,5,0
0,0,0,3,0,0,0,0,2.333,Jantel Lavender,1,2,0,1,0,0,0,0
4,0,7,16,7,1,3,3,32.633,Penny Taylor,1,-5,18,8,0,5,1,1
0,0,1,4,2,4,4,2,15.800,Kara Braxton,1,-10,6,2,0,0,0,4
4,0,6,13,5,2,2,2,36.483,Candice Dupree,5,-8,12,11,1,0,0,1
3,0,2,9,2,4,3,3,31.817,Diana Taurasi,1,-21,9,3,0,8,2,4
6,0,1,11,7,2,0,0,31.333,Temeka Johnson,1,-10,16,2,0,3,2,3
0,0,5,9,4,3,0,0,24.767,DeWanna Bonner,4,-6,10,9,1,2,2,0
0,0,0,8,3,1,0,0,16.733,Marie Ferdinand Harris,0,-2,7,0,2,2,1,0
1,0,0,3,2,1,0,0,7.483,Ketia Swanier,0,-4,6,0,0,3,2,0
0,0,1,0,0,1,0,0,2.950,Olayinka Sanni,0,-4,0,1,0,0,0,0
5,0,4,11,6,4,0,0,32.583,Nicole Powell,1,-2,13,5,3,5,1,3
2,0,1,13,7,3,2,2,33.867,Plenette Pierson,5,-1,16,6,1,0,0,7
2,0,2,8,3,4,2,2,29.483,Kia Vaughn,3,-6,8,5,2,0,0,1
1,0,0,15,7,1,6,6,30.117,Essence Carson,2,2,23,2,2,5,3,1
4,0,1,13,5,2,2,2,32.350,Cappie Pondexter,0,4,13,1,2,2,1,3
0,1,0,2,1,1,0,0,3.433,Alex Montgomery,0,-2,2,0,0,0,0,1
1,1,0,4,0,0,0,0,6.933,Jessica Breland,0,-5,0,0,0,0,0,0
0,0,0,2,1,2,0,0,10.850,Leilani Mitchell,0,-8,3,0,1,2,1,1
0,0,2,3,1,1,0,0,9.450,Quanitra Hollingsworth,2,0,2,4,0,0,0,0
0,0,0,0,0,1,0,0,10.933,Sidney Spencer,2,-12,0,2,0,0,0,0
4,1,0,10,7,3,4,4,30.683,Tamika Catchings,2,12,19,2,3,2,1,4
1,0,3,5,2,1,5,5,18.700,Tangela Smith,2,-11,9,5,0,2,0,0
0,2,0,4,1,3,0,0,18.717,Tammy Sutton Brown,2,-11,2,2,0,0,0,2
4,0,4,12,7,2,2,1,33.517,Katie Douglas,0,0,17,4,1,6,2,4
3,0,0,6,4,4,6,5,32.583,Briann January,0,9,13,0,2,1,0,7
4,0,2,5,1,2,0,0,20.033,Erin Phillips,1,-3,3,3,0,2,1,4
0,3,7,4,3,1,4,3,19.667,Jessica Davenport,1,19,9,8,0,0,0,1
1,0,3,7,5,1,0,0,24.117,Jeanette Pohlen,0,19,14,3,1,4,4,1
0,0,0,0,0,0,0,0,1.983,Shyra Ely Gash,0,-4,0,0,0,0,0,0
2,0,5,12,5,4,2,2,27.633,Marissa Coleman,1,2,13,6,0,3,1,2
2,0,1,12,6,4,2,2,34.517,Crystal Langhorne,4,-4,14,5,1,1,0,2
0,1,3,13,2,3,4,3,37.733,Nicky Anosike,3,-4,7,6,2,0,0,0
4,0,4,18,10,5,3,3,35.867,Matee Ajavon,2,-5,24,6,2,4,1,7
4,0,2,9,6,0,1,1,38.933,Kelly Miller,2,-7,15,4,1,4,2,0
0,0,0,0,0,1,0,0,4.600,Kerri Gardin,0,-6,0,0,0,0,0,1
