deflections, interceptions, name, sacks, tackles
0,0,M Fletcher,0.000,5
0,0,R Johnson,0.000,3
0,0,J Brown,3.000,3
0,0,O Steinauer,0.000,5
0,0,W Amos,0.000,4
0,0,T Canada,0.000,4
0,0,I Charlton,0.000,4
0,0,G Walls,1.000,2
0,1,C Hall,0.000,5
0,0,J Johnson,0.000,5
0,0,D Brown,0.000,4
0,0,A Malbrough,0.000,4
0,0,J Lobendahn,2.000,6
0,0,M Winn,0.000,1
0,0,I Logan,0.000,1
0,0,J Nugent,0.000,1
0,0,J Haywood,0.000,2
0,0,K Malveaux,0.000,2
0,0,A Franklin,0.000,1
0,0,M Stegall,0.000,1
0,0,B Browner,0.000,5
0,0,M Labinjo,0.000,1
0,0,J Simpson,0.000,1
0,0,M Robede,0.000,1
0,0,W Lysack,0.000,1
0,0,B Ralph,0.000,1
0,0,J Battle,0.000,1
0,0,E Freeman,0.000,3
0,0,D Carpenter,0.000,3
0,0,B Smith,0.000,3
0,0,F Hunter,0.000,4
0,0,D Anderson,0.000,4
0,0,C Hughes,0.000,4
0,0,S James,0.000,4
0,0,J Patrick,0.000,2
0,0,S Lucas,0.000,2
0,0,S Gordon,0.000,2
0,0,D Bake,1.000,2
0,0,K Jones,0.000,2
0,0,E Davis,0.000,3
0,0,O Morgan,0.000,3
0,0,M Lloyd,0.000,4
0,0,L Frazier,0.000,4
0,0,A McKenzie,0.000,7
0,1,D Heard,0.000,6
0,0,L Gordon,0.000,5
0,0,R Glasper,0.000,3
0,1,C Thompson,0.000,3
0,0,Z Moreno,0.000,3
0,0,R Robinson,0.000,3
0,0,D Adams,1.000,3
0,0,G Tisdale,0.000,4
0,1,M Knowlton,0.000,3
0,0,C Anthony,1.000,3
0,0,T Patrick,0.000,1
0,0,R Mariuz,0.000,2
0,0,S Glavic,0.000,0
0,0,S Manning,0.000,1
0,0,O Steinauer,0.000,2
0,0,B Parker,0.000,2
0,0,R Johnson,0.000,2
0,0,A Wagner,0.000,2
0,0,A Bruce,0.000,1
0,0,A Belli,0.000,1
0,0,K Wheaton,0.000,1
0,0,W Middlebrooks,0.000,5
0,0,K Heatly,0.000,5
0,0,M Fletcher,1.000,5
0,0,W Pile,1.000,5
0,0,J Brown,1.000,2
0,0,M OShea,0.000,3
0,0,R Flemons,1.000,3
0,0,K Eiben,0.000,4
0,0,R Williams,0.000,1
0,0,J Patrick,0.000,1
0,0,C Grant,0.000,1
0,0,L Frazier,0.000,2
0,0,W Smith,0.000,1
0,0,T Clovis,0.000,3
0,0,M Adams,0.000,2
0,1,A McKenzie,0.000,3
0,0,E Davis,0.000,3
0,0,O Morgan,0.000,5
0,0,M Lloyd,0.000,4
0,0,T Kornegay,0.000,7
0,0,D Bake,0.000,6
0,1,S Lucas,0.000,8
0,0,K Jones,0.000,7
0,0,M Labinjo,0.000,1
0,0,R Lazeo,0.000,1
0,0,E Freeman,0.000,2
0,0,M Grootegoed,0.000,2
0,0,J Armour,0.000,1
0,0,M Parker,0.000,1
0,0,J Copeland,0.000,1
0,0,M Robede,0.000,1
0,0,D Anderson,0.000,1
0,0,C Hughes,0.000,1
0,0,S James,0.000,5
0,0,C Bannister,0.000,3
0,1,B Browner,0.000,3
0,0,J Battle,0.000,2
0,0,D Carpenter,0.000,3
