longest rush, name, rushes, rushing touchdowns, rushing yards
37,J Robertson,11,0,75
22,T Lulay,5,1,39
3,J Jackson,3,0,8
35,A Cobourne,17,1,163
21,D Diedrick,8,0,42
12,A Calvillo,3,0,16
11,B Bratton,1,0,11
1,A McPherson,3,1,3
18,C Boyd,8,0,43
8,C Lemon,2,0,11
6,A Durie,1,0,8
5,D Wright,1,0,5
16,J Reynolds,10,0,52
28,J Cornish,3,0,31
2,D Tate,1,0,2
1,H Burris,1,0,1
11,W Cates,12,1,60
22,D Durant,6,0,51
15,A Cobourne,15,2,67
8,A Calvillo,2,0,16
10,E DeSlauriers,1,0,10
9,B Bratton,1,0,9
3,A McPherson,3,0,7
7,K Watkins,1,0,7
24,W Cates,10,1,83
8,D Durant,1,0,8
